"time","x1","x2","x3","x4"
0,0.295726010762799,0.112219951790424,0.484841499485921,0.107212537960856
0.5,0.280265880311038,0.135162812301798,0.423906479069021,0.130812455060776
1,0.273041860609154,0.160532140703301,0.387864996721136,0.158701568592398
1.5,0.269004961676665,0.18706482729506,0.362740874985272,0.189414514378258
2,0.266088211365197,0.213354633053347,0.343192165938096,0.221355841155425
2.5,0.263445635974128,0.238041495808036,0.326980396122508,0.252932420610158
3,0.260814164605506,0.260029094885781,0.313118498678727,0.282781997484839
3.5,0.258217338481805,0.278628431010904,0.301127600649355,0.309942772228864
4,0.255802815220811,0.293585276051157,0.290712310698664,0.333899387477545
4.5,0.253751282143356,0.305010498680733,0.281623875290336,0.354520067663763
5,0.252230099255193,0.313263265370659,0.273611812647748,0.371938455870341
5.5,0.251375328965545,0.318834106181238,0.266415247195185,0.386432682710916
6,0.251290226813356,0.32225427304449,0.259769781838629,0.398331028890035
6.5,0.25205098391455,0.324037603510337,0.253417673737875,0.407951311453788
7,0.253714728634933,0.324650518827269,0.247117105584959,0.415569387200459
7.5,0.256326597011636,0.324501248548051,0.240648874656675,0.421407242953076
8,0.25992487706993,0.323940502963807,0.23382102203052,0.425632613075046
8.5,0.264543703115986,0.323267809019906,0.226472089881478,0.428364271447443
9,0.270213449499402,0.322741392465207,0.218472513321193,0.42968092446078
9.5,0.276958694275565,0.32258576272638,0.209727567524112,0.429628306860058
10,0.28479407616104,0.32299974289332,0.200180438517582,0.428227726796284
10.5,0.293717595640207,0.324162741223819,0.189815707563177,0.425484068432677
11,0.303701867086446,0.326241519844428,0.178661649643566,0.421396282530942
11.5,0.314683045727314,0.329392131180447,0.166794088617781,0.415964803627473
12,0.326548391604683,0.333760967792287,0.154338768524491,0.409200920317496
12.5,0.339123310992988,0.339484477012285,0.141470661381324,0.401138117881954
13,0.352160176577286,0.34668551169298,0.128409174511539,0.391842305883006
13.5,0.365333316090718,0.355467365047388,0.115407853132698,0.381420785764153
14,0.378241741503538,0.365905490443908,0.102737572900267,0.370029081057907
14.5,0.390423884348169,0.37803679948619,0.0906649475339549,0.357873038977531
15,0.401386631667783,0.391848001901733,0.0794289692292711,0.345205352577655
15.5,0.410646173735225,0.407264140476907,0.0692194330463567,0.332314968482348
16,0.417775617317489,0.424139353263213,0.0601620407505068,0.319510413746546
16.5,0.422451290989968,0.44225241420624,0.052313401809364,0.307099954821494
17,0.424487980695063,0.461308614761223,0.0456660792503618,0.295371184525917
17.5,0.423856256035671,0.480949250230399,0.0401616740018161,0.284573826138975
18,0.420679402852674,0.500768723438798,0.0357081535425781,0.274908493217716
18.5,0.41521174799854,0.520337341028757,0.0321972937279399,0.266521800256262
19,0.407804347698195,0.539227091446328,0.029519411373354,0.259507405799018
19.5,0.398865355425699,0.557037077591335,0.0275740693757574,0.2539114109713
20,0.388821474922675,0.573415008421453,0.0262765223614359,0.249739955515874
20.5,0.378085702934454,0.588072739905498,0.0255610118068833,0.246967418626552
21,0.367033073799223,0.6007945827178,0.0253815805480758,0.245543784696268
21.5,0.355985461420503,0.611438710929074,0.0257115339394618,0.245400876578718
22,0.345204419445106,0.619932828740127,0.0265421278867726,0.246457145647621
22.5,0.334889847793983,0.626265946504054,0.0278808854782592,0.248621046049316
23,0.325183259368735,0.630478199495094,0.0297497861221644,0.25179346884293
23.5,0.316173337640259,0.632649724451926,0.0321831623165926,0.255869536631444
24,0.30790272912182,0.632890252268284,0.0352253407108966,0.260740320310211
24.5,0.300375106142627,0.631330163379797,0.0389279686726456,0.26629467203913
25,0.293562085367542,0.628112360479602,0.0433466721796618,0.272421379028987
25.5,0.287409610214768,0.623385893087991,0.0485371917998159,0.279011690838988
26,0.281843557826784,0.617301265236509,0.0545513307789849,0.285962283881359
26.5,0.276775155446664,0.610006064921528,0.0614324548404878,0.293178363595538
27,0.272106366733675,0.60164161792713,0.0692111519669637,0.300576793155075
27.5,0.267735116932775,0.59234057288549,0.0779015484890699,0.308088886143142
28,0.26356025526516,0.582224883860356,0.0874985320832937,0.315662325499972
28.5,0.259486178338004,0.571404543757956,0.0979764139991426,0.323262064691696
29,0.255427205265233,0.559976944761759,0.109288984488229,0.330870251158446
29.5,0.251311163175193,0.548026725588242,0.121370898446113,0.338484818650182
30,0.247081932544133,0.535626227734545,0.134140182228291,0.346116960361733
30.5,0.242700994770776,0.522836618242741,0.147501317586247,0.353787904079257
