Complexity,Loss,Equation
1,0.009629252,"0.0040691164"
3,0.009202912,"x0 * 0.06551198"
5,0.009005253,"(x0 * 0.10631015) - 0.019219685"
9,0.008981375,"(x0 * ((x0 * -0.09820249) + 0.179712)) - 0.025165644"
13,0.008980362,"(x1 * -0.015713193) + (((0.16803685 - x0) - (x0 * -0.89319104)) * x0)"
15,0.008975893,"(1.7166917 - x0) * ((0.7720621 - (x0 * (5.397873 - (x1 * x0)))) * -0.019643111)"
17,0.008973266,"((x0 - -0.3685501) - (x0 * (3.8190534 - (x0 * x1)))) * ((1.7639927 - x0) * -0.039943587)"
19,0.008964707,"((((x0 - 1.499301) * x0) + 0.7841009) * (x0 + -0.12829772)) * (((-0.67090493 - x1) * 0.11703367) + 0.5439908)"
