"Time","B42","E310","E111"
0,87.9424718349374,123.529659202059,133.947223598617
30,188.051970483911,115.585564872247,163.414990949075
60,275.038917163094,206.203777300274,177.923096074813
90,536.030178977723,415.365599553368,168.111257467304
120,901.513646914233,1278.47887863423,245.951569375949
150,1664.31783222296,2156.38543390416,1397.99837028931
180,3884.91950703464,3963.51292367121,7370.17684103815
210,7146.20460522877,7382.00062446735,18664.2340189726
240,10903.6544008171,13243.2084384613,29878.0633169341
