"Time","B42","E310","E111"
0,94.5166129619734,110.878455056021,158.783186574518
30,151.553529737323,160.245537356943,160.714443009085
60,169.955243147668,272.942937244239,172.387539022885
90,240.497915417494,731.538728806537,117.456563854021
120,261.294952365155,1817.58053076185,147.394377793888
150,218.906177891319,2729.11434330041,1125.34693722295
180,112.955138296332,6765.37152186493,8067.772522337
210,589.146357708334,14011.1572234038,20253.8923485507
240,734.139578348702,23871.0344771366,30875.6781496994
