Complexity,Loss,Equation
1,0.009629252,"0.0040710047"
3,0.009202912,"x0 * 0.06551201"
5,0.009005252,"(x0 * 0.1063434) - 0.01922786"
9,0.008981372,"(x0 * ((x0 * -0.098250434) + 0.17976393)) - 0.025172655"
13,0.00898088,"-0.015387884 - ((x1 * 0.0054271827) - ((x0 * 0.07814151) * (2.0434582 - x0)))"
17,0.008964747,"-0.010090537 - ((x1 * (0.120995864 - ((x1 * 0.10507794) * x0))) * ((x1 - 1.4418935) - x0))"
19,0.008958436,"(0.058251183 - (x1 * ((x1 - 1.3185041) - x0))) * (0.09095739 - ((x0 * x1) * (x1 * 0.066115275)))"
