Complexity,Loss,Equation
1,0.009629252,"0.004075407"
3,0.009202912,"x0 * 0.06551197"
5,0.009005253,"(x0 * 0.10630832) + -0.019219272"
9,0.008981374,"((0.17973267 - (x0 * 0.09822808)) * x0) + -0.025167638"
13,0.008980362,"(((x0 * 0.8932658) + (0.16797099 - x0)) * x0) - (x1 * 0.015712224)"
15,0.00897867,"((((x0 * x0) * ((x0 * 0.19946234) + -0.7794993)) + x0) * 0.20044737) - 0.026293032"
19,0.008968279,"((((x0 + 0.2702575) - x0) - ((-0.29842457 - (x0 * -0.18780714)) * (x0 * -1.3559612))) * x0) - 0.02958638"
