Complexity,Loss,Equation
1,0.009629252,"0.0040747505"
3,0.009202912,"x0 * 0.06551132"
5,0.009005253,"-0.019218924 - (x0 * -0.1063086)"
9,0.008981372,"-0.025138116 - (x0 * ((x0 * 0.09807957) - 0.17954461))"
15,0.008980789,"(0.013297665 - (x0 * 0.08950071)) * ((((0.54119587 - x0) * x1) * -0.93139464) + -1.122185)"
17,0.008970787,"(0.013297665 - (x0 * 0.08950071)) * (((0.60307235 - (x1 * x0)) * (x0 - x1)) + -1.122185)"
19,0.008964206,"(0.013297665 - (x0 * 0.08950071)) * (((0.54119587 - ((x1 * x0) * x1)) * (x0 - x1)) + -1.122185)"
