time,x(t)1,x(t)2,x(t)3
0,10.34915329186577,4.907738915485849,0.168175609654391
0.08,8.407016645792142,5.242870127558396,2.4688325178510713
0.16,19.006541492415202,4.417495588633211,1.1871647845647082
0.24,14.839417150594995,11.457389982940011,0.5646636475191995
0.32,8.316624526128845,5.87772237133775,1.2392546660293353
0.4,9.875523285991964,8.073698046198478,2.5854456276592868
0.48,13.17208693047938,7.6006297708308495,3.3505848382957555
0.56,12.958001870512279,16.522369466852954,3.051028637211212
0.64,22.76666556564932,14.277296239354259,10.446061617117024
0.72,17.011390030542476,23.193792915332825,8.451506440845892
0.8,20.07027618066399,19.326648131540136,19.754597629705746
0.88,22.800319991853446,28.64655147273627,13.905362189133886
0.96,34.98910796319037,38.20094561458083,19.966950198425703
1.04,22.322237133851388,38.799418156823315,23.200044597385258
1.12,22.18508157441024,40.4730169573027,31.56087150317625
1.2,35.73490724188568,69.47414589513754,36.256650274739066
1.28,27.593043808727447,61.42352854799394,44.53075561547444
1.36,44.5206588953829,71.5680010880329,55.94316441166784
1.44,40.45246317886362,79.20824809399626,74.45901426448016
1.52,37.69814183797153,100.87975054126527,91.04837626279033
1.6,55.75566013322171,118.55566461946432,116.7155619136848
1.68,62.85134205916969,157.1335626478387,125.65832939861795
1.76,56.54280120707988,179.31232696256762,211.32214479839544
1.84,57.27121480935578,215.7132424178701,270.71691550172227
1.92,70.1981080782517,273.56418625191856,350.15288130468986
2,75.8154171028869,271.6488697977148,384.02277833400706
2.08,101.79151413178754,330.5975364641289,490.85755878351034
2.16,73.80161922650328,359.18673835887927,654.9722133331294
2.24,99.62709713068205,412.18244904595656,781.1953778230001
2.32,118.18126766016903,456.3676537212432,1097.6305460127764
2.4,107.71415694971881,599.0396669705873,1376.6224407478676
2.48,113.27827848127431,723.3497228360321,1701.3548471859574
2.56,123.99722773042738,802.0806992020381,2149.062438698641
2.64,139.53024844355414,1018.7165156801711,2782.1937507233356
2.72,154.34193485162578,1183.0742446248385,3544.510202407306
2.8000000000000003,154.53683002152871,1355.14413691545,4535.262254177514
2.88,175.7572979282932,1519.8640138163753,5706.882916449556
2.96,192.67724292652898,1839.092810740223,7069.721460817346
