Complexity,Loss,Equation
1,0.015946576,"0.08699109"
3,0.004462747,"x0 * 0.08214402"
4,0.0017420531,"exp(x0) * 0.011657267"
5,0.0015367891,"-0.00986992 / (x1 + -0.583727)"
7,0.0014332599,"(x1 / (x1 + -0.595632)) * -0.026170295"
8,0.0011115017,"(exp(x0) / (x1 - x2)) * -0.0018613122"
9,0.000733807,"(0.054919064 / (x0 + -2.8057423)) - (x0 * -0.09177149)"
10,0.00060283573,"(exp(x0) / (x1 - (x2 * 0.8720815))) * -0.0007893253"
12,0.00030882753,"x0 * (((-0.004093917 / (x1 - x2)) - 0.022111472) * exp(x0))"
14,0.00030386943,"(x0 * ((-0.0019223292 / (x1 - x2)) - 0.009560263)) * (exp(x0) / x2)"
16,0.0002775408,"((((-0.002075902 / (x1 - x2)) - 0.010463261) * exp(x0)) * (x0 / x2)) - 0.0069733346"
18,0.00026718288,"(x0 / x2) * ((exp(x0) * ((-0.0021565454 / (x1 - x2)) - 0.010777156)) - (x1 * 0.012967932))"
20,0.00015030614,"x0 * ((-0.52762663 / ((x2 * -0.7499838) - x2)) + log10((x1 ^ (x2 * 3.6691375)) - (x0 * -0.07940928)))"
