"t","R","G","B"
41,0.167015479829879,0.0140447128644787,0.0537010322378109
42,0.101814825057741,0.00832666851039332,0.0508233236413105
43,0.113097685126358,0.0536150747083048,0.0167766673892082
44,0.130050004858469,0.0620688108710115,0.0309036004993011
45,0.0478671320830875,0.0337028261340788,0.0761994812649958
46,0.0506439340145157,0.112966880190153,0.0789688086286411
47,0.00809495690911666,0.11291082093178,0.081749347843961
48,0.02788013783103,0.217670625696069,0.118524221336901
49,0.0278352904243313,0.192137502148938,0.0674916097976634
50,0.013618662500841,0.461203255921726,0.143926539947828
51,0.0107372166204489,0.565978009821582,0.158042261206246
52,0.0106923692137502,0.761393109943418,0.189155149603474
53,-0.000687660236046828,0.996479478574152,0.206103732051694
54,0.0247632430654698,0.996434631167453,0.288211859149245
55,0.0530432702728965,0.673436133555577,0.449643836845134
56,0.0954876034293315,0.786709471024838,0.455257237250256
57,0.0841075739795345,0.103937602308146,0.483537264457683
58,0.282363009858955,0.341853094844791,0.463666126006264
59,0.477781847264682,0.276648702788761,0.809226606471481
60,0.681703005523706,0.0811364332857454,0.321925897134998
