Complexity,Loss,Equation
1,0.009629252,"0.0040720785"
3,0.009202912,"x0 * 0.06551154"
5,0.009005253,"(x0 * 0.10631207) - 0.019219587"
9,0.008981372,"-0.02516422 - (x0 * ((x0 * 0.0981862) - 0.17969891))"
15,0.008978432,"((x0 - 1.422687) * (x0 * -0.10951075)) + ((x1 * (x1 - 0.7432958)) * -0.019282121)"
17,0.008978162,"(((x1 * 0.014193766) * (x1 - 1.0725931)) * -2.2278407) + ((x0 * -0.10242663) * (x0 - 1.3855845))"
