Complexity,Loss,Equation
1,0.009629252,"0.004066616"
3,0.009202912,"x0 * 0.06551205"
5,0.009005253,"-0.01921947 - (x0 * -0.10630702)"
9,0.008984067,"((x0 + -0.16039081) * -0.06554332) * (x0 + -2.2235968)"
11,0.008981373,"((((x0 * -0.09822336) + -0.8203434) * x0) + -0.025152156) + x0"
13,0.008950894,"(x1 * ((x0 * -0.36010572) + 0.05011057)) * ((x1 - 1.9336118) + x0)"
