Time,Vibrio,Escherichia,Staphylococcus
4,0,12553,6548
5,0,12423,6387
6,0,12633,6832
7,0,13135,7403
8,0,14014,8096
9,0,14269,8645
10,0,14521,9371
11,0,14996,10098
12,0,15250,10645
13,0,16372,11640
14,0,17775,12761
15,0,18683,12754
16,0,23295,13927
17,0,30274,15484
18,0,40360,15861
19,0,56263,16387
20,0,74907,17237
21,0,97392,17917
22,0,119496,17702
23,0,153642,18697
24,0,189775,19556
