Time,Vibrio,Escherichia,Staphylococcus
4,140099,19766,0
5,157772,23703,0
6,174162,26580,0
7,192685,30702,0
8,208715,34429,0
9,220975,37436,0
10,225344,38297,0
11,242164,41771,0
12,248351,43919,0
13,270535,49408,0
14,278852,55668,0
15,277798,57349,0
16,364909,71768,0
17,513230,96675,0
18,619806,117670,0
19,583967,120599,0
20,788456,143808,0
21,855059,164200,0
22,843323,163240,0
23,919505,177895,0
24,1028728,196586,0
