Time,Vibrio,Escherichia,Staphylococcus
4,146152,21035,0
5,166572,24739,0
6,178136,27375,0
7,203928,32517,0
8,222518,36818,0
9,231924,39332,0
10,235513,40623,0
11,243882,42167,0
12,248063,43969,0
13,258726,47171,0
14,271906,52544,0
15,246310,49949,0
16,273596,59563,0
17,348817,73320,0
18,354405,88526,0
19,460346,96069,0
20,424462,99617,0
21,500871,117430,0
22,558393,124321,0
23,641361,141660,0
24,747836,161633,0
