Time,Vibrio,Escherichia,Staphylococcus
4,112424,0,8168
5,108887,0,7979
6,108872,0,8042
7,114443,0,8909
8,121531,0,9935
9,127637,0,10734
10,135514,0,11150
11,146319,0,11537
12,151714,0,11895
13,163843,0,13275
14,172761,0,14820
15,167444,0,14389
16,181543,0,15992
17,196996,0,18457
18,200120,0,18626
19,205625,0,19326
20,215308,0,20606
21,226374,0,21987
22,226647,0,22275
23,241604,0,24310
24,263085,0,27215
