Time,Vibrio,Escherichia,Staphylococcus
4,174744,25056,0
5,201224,30086,0
6,224515,34505,0
7,239040,37702,0
8,253321,40688,0
9,266325,43364,0
10,278298,46416,0
11,309679,49051,0
12,318951,51425,0
13,334472,55121,0
14,344632,58837,0
15,328607,63043,0
16,364608,69544,0
17,401814,79340,0
18,399002,86475,0
19,411590,97882,0
20,455547,110948,0
21,510415,129115,0
22,621680,145113,0
23,765338,168993,0
24,922395,187311,0
