Time,Vibrio,Escherichia,Staphylococcus
4,113961,15208,5072
5,110396,14581,5074
6,111937,14934,5345
7,123394,17053,6005
8,139141,19584,6241
9,149429,21777,6854
10,157375,23393,7170
11,166986,25568,8085
12,172079,27014,8759
13,185574,29862,10046
14,196101,32694,10937
15,193488,33605,11186
16,207056,38120,12433
17,225009,44379,13595
18,239362,52042,14474
19,252112,61347,15222
20,270381,75506,16199
21,313657,85613,16968
22,326470,97205,17139
23,354130,116046,18070
24,388745,137222,19156
