Time,Vibrio,Escherichia,Staphylococcus
4,0,12396,7040
5,0,12181,6956
6,0,12477,7280
7,0,13221,7937
8,0,13756,8790
9,0,14041,9490
10,0,14338,10129
11,0,14999,10944
12,0,15191,11370
13,0,16452,12620
14,0,18076,13725
15,0,19169,13749
16,0,24628,14894
17,0,34263,16167
18,0,48757,16748
19,0,68850,17235
20,0,94617,18075
21,0,127828,18628
22,0,157765,19071
23,0,195220,19649
24,0,242395,20755
