Time,Vibrio,Escherichia,Staphylococcus
4,117727,0,5752
5,113131,0,5536
6,112567,0,5689
7,121572,0,6270
8,133967,0,6918
9,145265,0,7215
10,155728,0,7740
11,165386,0,8289
12,171673,0,8918
13,183811,0,10300
14,196303,0,11655
15,185690,0,11619
16,200245,0,12905
17,215688,0,14671
18,220277,0,15440
19,224844,0,16257
20,234508,0,17425
21,244354,0,19049
22,245845,0,19865
23,256806,0,21269
24,271827,0,23023
