Time,Vibrio,Escherichia,Staphylococcus
4,116019,15387,5349
5,111385,14628,5316
6,114332,15418,5686
7,124889,16941,6151
8,139248,19735,6739
9,152554,22110,7157
10,158951,23641,7606
11,169385,26076,8362
12,175498,28046,9237
13,188610,30655,10498
14,198384,33989,11326
15,197792,36131,11603
16,213220,40734,12745
17,232985,49068,14076
18,249150,58640,14881
19,264773,70173,15723
20,311518,89815,16688
21,343658,107833,17586
22,357953,124099,17472
23,387684,142879,18490
24,427840,166575,19126
