Time,Vibrio,Escherichia,Staphylococcus
4,122004,0,4677
5,116209,0,4707
6,117803,0,4957
7,130039,0,5455
8,146435,0,6067
9,159081,0,6518
10,168116,0,6977
11,177592,0,7834
12,182545,0,8690
13,198379,0,10139
14,210649,0,11448
15,198361,0,11276
16,214388,0,12648
17,229929,0,14340
18,233694,0,14818
19,237182,0,15869
20,251963,0,17405
21,259462,0,18776
22,259007,0,19406
23,274253,0,20962
24,308453,0,22369
