time,LP,LB
2,0.155,0.15
2.25,0.155,0.152
2.5,0.155,0.153
2.75,0.155,0.154
3,0.154,0.154
3.25,0.154,0.154
3.5,0.154,0.154
3.75,0.155,0.156
4,0.155,0.156
4.25,0.155,0.156
4.5,0.155,0.156
4.75,0.155,0.156
5,0.155,0.159
5.25,0.155,0.16
5.5,0.156,0.161
5.75,0.155,0.162
6,0.156,0.163
6.25,0.156,0.163
6.5,0.157,0.163
6.75,0.157,0.165
7,0.158,0.166
7.25,0.158,0.167
7.5,0.159,0.168
7.75,0.16,0.168
8,0.161,0.17
8.25,0.162,0.171
8.5,0.163,0.172
8.75,0.164,0.172
9,0.165,0.173
9.25,0.167,0.174
9.5,0.168,0.176
9.75,0.17,0.178
10,0.172,0.181
10.25,0.173,0.182
10.5,0.175,0.184
10.75,0.177,0.188
11,0.179,0.191
11.25,0.182,0.193
11.5,0.184,0.196
11.75,0.186,0.2
12,0.188,0.203
12.25,0.191,0.205
12.5,0.193,0.208
12.75,0.195,0.211
13,0.198,0.214
13.25,0.201,0.218
13.5,0.203,0.22
13.75,0.206,0.223
14,0.209,0.226
14.25,0.212,0.229
14.5,0.214,0.231
14.75,0.217,0.235
15,0.219,0.237
15.25,0.222,0.24
15.5,0.224,0.242
15.75,0.226,0.245
16,0.229,0.247
16.25,0.231,0.248
16.5,0.233,0.249
16.75,0.235,0.251
17,0.237,0.253
17.25,0.239,0.256
17.5,0.241,0.257
17.75,0.244,0.258
18,0.246,0.259
18.25,0.248,0.261
18.5,0.25,0.261
18.75,0.252,0.263
19,0.254,0.264
19.25,0.256,0.263
19.5,0.258,0.266
19.75,0.259,0.267
20,0.261,0.268
20.25,0.263,0.268
20.5,0.264,0.27
20.75,0.266,0.271
21,0.268,0.271
21.25,0.27,0.273
21.5,0.272,0.273
21.75,0.273,0.274
22,0.275,0.275
22.25,0.277,0.276
22.5,0.278,0.277
22.75,0.28,0.278
23,0.282,0.279
23.25,0.284,0.279
23.5,0.286,0.28
23.75,0.288,0.28
24,0.289,0.281
24.25,0.291,0.281
24.5,0.292,0.282
24.75,0.294,0.282
25,0.296,0.283
25.25,0.297,0.284
25.5,0.299,0.285
25.75,0.301,0.285
26,0.303,0.285
26.25,0.304,0.286
26.5,0.306,0.286
26.75,0.308,0.287
27,0.309,0.288
27.25,0.311,0.288
27.5,0.313,0.288
27.75,0.315,0.289
28,0.317,0.29
28.25,0.318,0.291
28.5,0.32,0.291
28.75,0.322,0.291
29,0.324,0.292
29.25,0.325,0.292
29.5,0.327,0.293
29.75,0.328,0.293
30,0.33,0.293
30.25,0.331,0.294
30.5,0.333,0.294
30.75,0.335,0.295
31,0.336,0.295
31.25,0.338,0.296
31.5,0.339,0.296
31.75,0.341,0.297
32,0.343,0.297
32.25,0.344,0.298
32.5,0.345,0.298
32.75,0.347,0.298
33,0.349,0.299
33.25,0.35,0.299
33.5,0.352,0.299
33.75,0.353,0.299
34,0.355,0.3
34.25,0.356,0.3
34.5,0.358,0.301
34.75,0.359,0.301
35,0.361,0.301
35.25,0.362,0.302
35.5,0.364,0.302
35.75,0.365,0.302
36,0.367,0.303
36.25,0.368,0.303
36.5,0.369,0.303
36.75,0.371,0.304
37,0.372,0.304
37.25,0.373,0.304
37.5,0.375,0.305
37.75,0.376,0.305
38,0.377,0.306
38.25,0.379,0.306
38.5,0.38,0.306
38.75,0.381,0.307
39,0.383,0.306
39.25,0.384,0.307
39.5,0.385,0.307
39.75,0.387,0.308
40,0.388,0.308
40.25,0.39,0.308
40.5,0.391,0.308
40.75,0.392,0.308
41,0.393,0.309
41.25,0.395,0.309
41.5,0.396,0.309
41.75,0.397,0.31
42,0.399,0.31
42.25,0.4,0.31
42.5,0.402,0.31
42.75,0.403,0.311
43,0.404,0.311
43.25,0.406,0.311
43.5,0.406,0.311
43.75,0.407,0.311
44,0.408,0.312
44.25,0.41,0.311
44.5,0.411,0.312
44.75,0.412,0.312
45,0.414,0.313
45.25,0.415,0.313
45.5,0.416,0.313
45.75,0.417,0.313
46,0.418,0.313
46.25,0.42,0.314
46.5,0.421,0.314
46.75,0.422,0.314
47,0.423,0.314
47.25,0.424,0.314
