time,LP,LB
47.5,0.425,0.315
47.75,0.426,0.315
48,0.427,0.315
48.25,0.428,0.315
48.5,0.43,0.315
48.75,0.431,0.315
49,0.431,0.316
49.25,0.433,0.316
49.5,0.434,0.316
49.75,0.435,0.316
50,0.436,0.316
50.25,0.437,0.316
50.5,0.438,0.316
50.75,0.439,0.316
51,0.44,0.316
51.25,0.441,0.317
51.5,0.443,0.317
51.75,0.443,0.317
52,0.445,0.317
52.25,0.445,0.317
52.5,0.447,0.317
52.75,0.448,0.317
53,0.449,0.318
53.25,0.449,0.317
53.5,0.45,0.318
53.75,0.451,0.318
54,0.452,0.318
54.25,0.453,0.318
54.5,0.454,0.318
54.75,0.455,0.318
55,0.456,0.318
55.25,0.457,0.318
55.5,0.458,0.318
55.75,0.459,0.318
56,0.459,0.318
56.25,0.46,0.318
56.5,0.461,0.319
56.75,0.462,0.319
57,0.463,0.319
57.25,0.464,0.319
57.5,0.465,0.319
57.75,0.466,0.319
58,0.466,0.32
58.25,0.467,0.32
58.5,0.468,0.319
58.75,0.469,0.32
59,0.47,0.32
59.25,0.47,0.32
59.5,0.471,0.32
59.75,0.472,0.32
60,0.472,0.32
60.25,0.473,0.32
60.5,0.474,0.32
60.75,0.475,0.32
61,0.476,0.32
61.25,0.477,0.321
61.5,0.477,0.321
61.75,0.478,0.321
62,0.479,0.321
62.25,0.479,0.321
62.5,0.48,0.321
62.75,0.481,0.321
63,0.482,0.321
63.25,0.483,0.321
63.5,0.483,0.321
63.75,0.484,0.321
64,0.485,0.321
64.25,0.485,0.321
64.5,0.486,0.321
64.75,0.487,0.321
65,0.487,0.321
65.25,0.488,0.321
65.5,0.489,0.321
65.75,0.489,0.321
66,0.49,0.321
66.25,0.491,0.321
66.5,0.491,0.322
66.75,0.492,0.322
67,0.493,0.322
67.25,0.493,0.322
67.5,0.494,0.322
67.75,0.495,0.322
68,0.495,0.322
68.25,0.496,0.322
68.5,0.497,0.322
68.75,0.497,0.322
69,0.498,0.322
69.25,0.498,0.322
69.5,0.499,0.322
69.75,0.499,0.322
70,0.5,0.322
70.25,0.501,0.322
70.5,0.501,0.322
70.75,0.502,0.322
71,0.503,0.322
71.25,0.503,0.322
71.5,0.503,0.322
71.75,0.504,0.322
72,0.505,0.322
72.25,0.505,0.322
72.5,0.506,0.322
72.75,0.506,0.322
73,0.507,0.322
73.25,0.507,0.322
73.5,0.508,0.323
73.75,0.509,0.323
74,0.509,0.323
74.25,0.51,0.323
74.5,0.51,0.322
74.75,0.511,0.322
75,0.511,0.322
75.25,0.512,0.322
75.5,0.513,0.322
75.75,0.513,0.322
76,0.514,0.323
76.25,0.514,0.322
76.5,0.515,0.322
76.75,0.515,0.323
77,0.516,0.323
77.25,0.517,0.323
77.5,0.517,0.323
77.75,0.518,0.322
78,0.518,0.322
78.25,0.519,0.322
78.5,0.519,0.323
78.75,0.52,0.322
79,0.52,0.322
79.25,0.521,0.322
79.5,0.521,0.322
79.75,0.522,0.322
80,0.523,0.322
80.25,0.523,0.322
80.5,0.524,0.322
80.75,0.524,0.322
81,0.525,0.322
81.25,0.526,0.322
81.5,0.526,0.322
81.75,0.527,0.322
82,0.527,0.322
82.25,0.528,0.322
82.5,0.528,0.322
82.75,0.529,0.322
83,0.529,0.322
83.25,0.53,0.322
83.5,0.53,0.322
83.75,0.531,0.322
84,0.531,0.322
84.25,0.532,0.322
84.5,0.532,0.322
84.75,0.533,0.322
85,0.534,0.322
85.25,0.534,0.322
85.5,0.535,0.322
85.75,0.535,0.322
86,0.536,0.322
86.25,0.536,0.322
86.5,0.537,0.322
86.75,0.537,0.322
87,0.538,0.322
87.25,0.538,0.322
87.5,0.539,0.322
87.75,0.539,0.322
88,0.539,0.322
88.25,0.54,0.322
88.5,0.541,0.322
88.75,0.541,0.322
89,0.542,0.322
89.25,0.542,0.322
89.5,0.543,0.322
89.75,0.543,0.322
90,0.543,0.322
90.25,0.544,0.321
90.5,0.544,0.321
90.75,0.545,0.322
91,0.545,0.322
91.25,0.546,0.322
91.5,0.547,0.322
91.75,0.547,0.321
92,0.547,0.321
92.25,0.548,0.321
92.5,0.548,0.321
92.75,0.549,0.321
93,0.549,0.321
93.25,0.55,0.321
93.5,0.55,0.321
93.75,0.551,0.321
94,0.551,0.321
94.25,0.552,0.321
94.5,0.552,0.321
94.75,0.553,0.321
95,0.553,0.321
95.25,0.553,0.321
95.5,0.554,0.321
95.75,0.555,0.321
96,0.555,0.321
