time,AO,LP,LB
69.25,0,0.849,0
69.5,0,0.849,0
69.75,0,0.85,0
70,0,0.851,0
70.25,0,0.852,0
70.5,0,0.853,0
70.75,0,0.853,0
71,0,0.854,0
71.25,0,0.855,0
71.5,0,0.855,0
71.75,0,0.856,0
72,0,0.857,0
72.25,0,0.857,0
72.5,0,0.858,0
72.75,0,0.858,0
73,0,0.859,0
73.25,0,0.859,0
73.5,0,0.859,0
73.75,0,0.859,0
74,0,0.859,0
74.25,0,0.859,0
74.5,0,0.859,0
74.75,0,0.859,0
75,0,0.859,0
75.25,0,0.858,0
75.5,0,0.858,0
75.75,0,0.857,0
76,0,0.856,0
76.25,0,0.855,0
76.5,0,0.854,0
76.75,0,0.854,0
77,0,0.853,0
77.25,0,0.853,0
77.5,0,0.852,0
77.75,0,0.851,0
78,0,0.851,0
78.25,0,0.85,0
78.5,0,0.849,0
78.75,0,0.849,0
79,0,0.848,0
79.25,0,0.848,0
79.5,0,0.847,0
79.75,0,0.847,0
80,0,0.846,0
80.25,0,0.846,0
80.5,0,0.846,0
80.75,0,0.846,0
81,0,0.845,0
81.25,0,0.844,0
81.5,0,0.844,0
81.75,0,0.844,0
82,0,0.844,0
82.25,0,0.843,0
82.5,0,0.843,0
82.75,0,0.843,0
83,0,0.842,0
83.25,0,0.842,0
83.5,0,0.841,0
83.75,0,0.841,0
84,0,0.841,0
84.25,0,0.841,0
84.5,0,0.84,0
84.75,0,0.84,0
85,0,0.839,0
85.25,0,0.839,0
85.5,0,0.839,0
85.75,0,0.839,0
86,0,0.838,0
86.25,0,0.838,0
86.5,0,0.838,0
86.75,0,0.838,0
87,0,0.837,0
87.25,0,0.837,0
87.5,0,0.837,0
87.75,0,0.837,0
88,0,0.837,0
88.25,0,0.836,0
88.5,0,0.836,0
88.75,0,0.836,0
89,0,0.836,0
89.25,0,0.836,0
89.5,0,0.836,0
89.75,0,0.836,0
90,0,0.836,0
90.25,0,0.836,0
90.5,0,0.835,0
90.75,0,0.835,0
91,0,0.835,0
