time,AO,LB,LP
61,0,0.386,0.533
61.25,0,0.386,0.534
61.5,0,0.386,0.535
61.75,0,0.387,0.536
62,0,0.387,0.537
62.25,0,0.387,0.538
62.5,0,0.387,0.539
62.75,0,0.387,0.54
63,0,0.387,0.541
63.25,0,0.388,0.541
63.5,0,0.388,0.542
63.75,0,0.388,0.543
64,0,0.388,0.544
64.25,0,0.388,0.545
64.5,0,0.388,0.546
64.75,0,0.388,0.546
65,0,0.389,0.547
65.25,0,0.389,0.548
65.5,0,0.389,0.549
65.75,0,0.389,0.55
66,0,0.389,0.55
66.25,0,0.389,0.551
66.5,0,0.389,0.552
66.75,0,0.389,0.553
67,0,0.389,0.554
67.25,0,0.39,0.555
67.5,0,0.39,0.556
67.75,0,0.39,0.556
68,0,0.39,0.557
68.25,0,0.39,0.558
68.5,0,0.39,0.559
68.75,0,0.39,0.56
69,0,0.39,0.561
69.25,0,0.391,0.562
69.5,0,0.391,0.563
69.75,0,0.391,0.563
70,0,0.391,0.564
70.25,0,0.391,0.565
70.5,0,0.392,0.565
70.75,0,0.392,0.567
71,0,0.392,0.568
71.25,0,0.392,0.568
71.5,0,0.392,0.569
71.75,0,0.392,0.57
72,0,0.392,0.57
72.25,0,0.392,0.571
72.5,0,0.392,0.572
72.75,0,0.393,0.572
73,0,0.393,0.573
73.25,0,0.393,0.574
73.5,0,0.393,0.575
73.75,0,0.393,0.576
74,0,0.393,0.576
74.25,0,0.393,0.577
74.5,0,0.393,0.578
74.75,0,0.393,0.579
75,0,0.393,0.579
75.25,0,0.393,0.58
75.5,0,0.393,0.581
75.75,0,0.393,0.581
76,0,0.393,0.582
76.25,0,0.393,0.583
76.5,0,0.394,0.584
76.75,0,0.394,0.585
77,0,0.394,0.585
77.25,0,0.394,0.586
77.5,0,0.394,0.587
77.75,0,0.394,0.588
78,0,0.394,0.588
78.25,0,0.394,0.589
78.5,0,0.394,0.589
78.75,0,0.394,0.59
79,0,0.394,0.591
79.25,0,0.394,0.592
79.5,0,0.395,0.593
79.75,0,0.395,0.593
80,0,0.395,0.594
80.25,0,0.395,0.594
80.5,0,0.395,0.595
80.75,0,0.395,0.596
81,0,0.394,0.597
81.25,0,0.395,0.597
81.5,0,0.395,0.598
81.75,0,0.395,0.599
82,0,0.395,0.6
82.25,0,0.395,0.6
82.5,0,0.395,0.601
82.75,0,0.395,0.602
83,0,0.395,0.602
83.25,0,0.395,0.603
83.5,0,0.395,0.604
83.75,0,0.396,0.604
84,0,0.395,0.605
84.25,0,0.395,0.606
84.5,0,0.395,0.607
84.75,0,0.396,0.607
85,0,0.395,0.608
85.25,0,0.396,0.609
85.5,0,0.396,0.609
85.75,0,0.396,0.61
86,0,0.396,0.611
86.25,0,0.396,0.611
86.5,0,0.396,0.612
86.75,0,0.396,0.613
87,0,0.396,0.613
87.25,0,0.396,0.614
87.5,0,0.396,0.614
87.75,0,0.396,0.615
88,0,0.396,0.616
88.25,0,0.396,0.617
88.5,0,0.396,0.617
88.75,0,0.396,0.618
89,0,0.396,0.618
89.25,0,0.396,0.619
89.5,0,0.396,0.62
89.75,0,0.396,0.621
90,0,0.396,0.621
90.25,0,0.396,0.622
90.5,0,0.396,0.622
90.75,0,0.396,0.623
91,0,0.397,0.624
91.25,0,0.396,0.624
91.5,0,0.396,0.625
91.75,0,0.396,0.625
92,0,0.396,0.626
92.25,0,0.396,0.626
92.5,0,0.396,0.627
92.75,0,0.396,0.628
93,0,0.396,0.629
93.25,0,0.396,0.629
93.5,0,0.396,0.63
93.75,0,0.396,0.63
94,0,0.396,0.631
94.25,0,0.396,0.631
94.5,0,0.396,0.632
94.75,0,0.396,0.633
95,0,0.396,0.633
95.25,0,0.396,0.634
95.5,0,0.396,0.634
95.75,0,0.396,0.635
96,0,0.396,0.636
