time,LB
2,0.225
2.25,0.226
2.5,0.226
2.75,0.226
3,0.226
3.25,0.226
3.5,0.227
3.75,0.227
4,0.227
4.25,0.227
4.5,0.227
4.75,0.228
5,0.228
5.25,0.228
5.5,0.229
5.75,0.229
6,0.23
6.25,0.23
6.5,0.231
6.75,0.232
7,0.232
7.25,0.233
7.5,0.234
7.75,0.236
8,0.237
8.25,0.238
8.5,0.24
8.75,0.242
9,0.244
9.25,0.246
9.5,0.248
9.75,0.251
10,0.254
10.25,0.257
10.5,0.261
10.75,0.264
11,0.268
11.25,0.272
11.5,0.276
11.75,0.279
12,0.284
12.25,0.288
12.5,0.293
12.75,0.297
13,0.302
13.25,0.307
13.5,0.311
13.75,0.316
14,0.322
14.25,0.326
14.5,0.331
14.75,0.335
15,0.34
15.25,0.344
15.5,0.348
15.75,0.352
16,0.357
16.25,0.36
16.5,0.364
16.75,0.367
17,0.371
17.25,0.374
17.5,0.378
17.75,0.381
18,0.385
18.25,0.39
18.5,0.392
18.75,0.397
19,0.4
19.25,0.404
19.5,0.407
19.75,0.411
20,0.414
20.25,0.417
20.5,0.421
20.75,0.423
21,0.427
21.25,0.431
21.5,0.434
21.75,0.437
22,0.441
22.25,0.443
22.5,0.448
22.75,0.45
23,0.452
23.25,0.456
23.5,0.459
23.75,0.463
24,0.466
24.25,0.467
24.5,0.471
24.75,0.473
25,0.477
25.25,0.48
25.5,0.483
25.75,0.485
26,0.489
26.25,0.493
26.5,0.495
26.75,0.497
27,0.501
27.25,0.504
27.5,0.507
27.75,0.51
28,0.512
28.25,0.516
28.5,0.519
28.75,0.521
29,0.525
29.25,0.527
29.5,0.53
29.75,0.533
30,0.535
30.25,0.537
30.5,0.54
30.75,0.543
31,0.545
31.25,0.547
31.5,0.549
31.75,0.551
32,0.555
32.25,0.556
32.5,0.559
32.75,0.562
33,0.564
33.25,0.566
33.5,0.568
33.75,0.57
34,0.573
34.25,0.574
34.5,0.577
34.75,0.579
35,0.581
35.25,0.583
35.5,0.584
35.75,0.587
36,0.589
36.25,0.591
36.5,0.594
36.75,0.595
37,0.597
37.25,0.598
37.5,0.6
37.75,0.602
38,0.604
38.25,0.605
38.5,0.608
38.75,0.61
39,0.611
39.25,0.613
39.5,0.615
39.75,0.616
40,0.618
40.25,0.618
40.5,0.621
