time,AO,LB,LP
2,0.164,0,0.156
2.25,0.164,0,0.156
2.5,0.163,0,0.156
2.75,0.164,0,0.156
3,0.164,0,0.156
3.25,0.164,0,0.157
3.5,0.164,0,0.157
3.75,0.164,0,0.157
4,0.164,0,0.157
4.25,0.164,0,0.157
4.5,0.164,0,0.158
4.75,0.165,0,0.158
5,0.165,0,0.158
5.25,0.165,0,0.159
5.5,0.165,0,0.159
5.75,0.166,0,0.16
6,0.166,0,0.16
6.25,0.166,0,0.161
6.5,0.167,0,0.162
6.75,0.167,0,0.163
7,0.168,0,0.163
7.25,0.168,0,0.165
7.5,0.168,0,0.166
7.75,0.17,0,0.167
8,0.171,0,0.169
8.25,0.172,0,0.17
8.5,0.173,0,0.172
8.75,0.174,0,0.174
9,0.175,0,0.177
9.25,0.176,0,0.179
9.5,0.177,0,0.182
9.75,0.178,0,0.185
10,0.179,0,0.188
10.25,0.18,0,0.191
10.5,0.182,0,0.195
10.75,0.184,0,0.199
11,0.185,0,0.203
11.25,0.187,0,0.207
11.5,0.188,0,0.211
11.75,0.19,0,0.216
12,0.192,0,0.22
12.25,0.193,0,0.225
12.5,0.195,0,0.23
12.75,0.197,0,0.235
13,0.199,0,0.241
13.25,0.201,0,0.246
13.5,0.204,0,0.251
13.75,0.206,0,0.256
14,0.208,0,0.262
14.25,0.21,0,0.267
14.5,0.212,0,0.272
14.75,0.215,0,0.278
15,0.217,0,0.284
15.25,0.22,0,0.289
15.5,0.222,0,0.296
15.75,0.225,0,0.302
16,0.228,0,0.307
16.25,0.231,0,0.313
16.5,0.234,0,0.318
16.75,0.237,0,0.322
17,0.24,0,0.326
17.25,0.245,0,0.332
17.5,0.247,0,0.336
17.75,0.252,0,0.341
18,0.256,0,0.344
18.25,0.259,0,0.35
18.5,0.263,0,0.355
18.75,0.265,0,0.359
19,0.27,0,0.362
19.25,0.275,0,0.366
19.5,0.282,0,0.372
19.75,0.291,0,0.372
20,0.298,0,0.375
20.25,0.306,0,0.383
20.5,0.316,0,0.386
20.75,0.325,0,0.388
21,0.335,0,0.391
21.25,0.345,0,0.397
21.5,0.358,0,0.392
21.75,0.371,0,0.401
22,0.384,0,0.41
22.25,0.4,0,0.415
22.5,0.417,0,0.418
22.75,0.435,0,0.419
23,0.453,0,0.422
23.25,0.472,0,0.424
23.5,0.494,0,0.429
23.75,0.511,0,0.431
24,0.524,0,0.437
24.25,0.539,0,0.442
24.5,0.557,0,0.444
24.75,0.57,0,0.447
25,0.586,0,0.454
25.25,0.598,0,0.456
25.5,0.622,0,0.462
25.75,0.64,0,0.464
26,0.659,0,0.468
26.25,0.678,0,0.472
26.5,0.695,0,0.476
26.75,0.714,0,0.48
27,0.726,0,0.482
27.25,0.743,0,0.486
27.5,0.765,0,0.489
27.75,0.788,0,0.493
28,0.8,0,0.496
28.25,0.811,0,0.5
28.5,0.829,0,0.503
28.75,0.841,0,0.506
29,0.859,0,0.51
29.25,0.875,0,0.513
29.5,0.893,0,0.517
29.75,0.904,0,0.52
30,0.926,0,0.525
30.25,0.943,0,0.528
30.5,0.957,0,0.532
30.75,0.982,0,0.535
31,1.004,0,0.538
31.25,0.922,0,0.542
31.5,0.914,0,0.546
31.75,0.942,0,0.549
32,0.961,0,0.552
32.25,0.98,0,0.556
32.5,0.998,0,0.56
32.75,1.003,0,0.563
33,0.999,0,0.566
33.25,1,0,0.57
33.5,1.002,0,0.573
33.75,1.014,0,0.576
34,1.03,0,0.579
34.25,1.046,0,0.583
34.5,1.066,0,0.585
34.75,1.099,0,0.589
35,1.141,0,0.592
35.25,1.159,0,0.595
35.5,1.183,0,0.598
35.75,1.206,0,0.601
36,1.208,0,0.605
36.25,1.194,0,0.608
36.5,1.192,0,0.61
36.75,1.217,0,0.616
37,1.25,0,0.618
37.25,1.274,0,0.621
37.5,1.295,0,0.625
37.75,1.312,0,0.628
38,1.317,0,0.63
38.25,1.324,0,0.632
38.5,1.324,0,0.636
38.75,1.318,0,0.638
39,1.319,0,0.641
39.25,1.318,0,0.645
39.5,1.325,0,0.647
39.75,1.33,0,0.65
40,1.333,0,0.653
40.25,1.336,0,0.655
40.5,1.341,0,0.658
40.75,1.347,0,0.661
41,1.354,0,0.663
41.25,1.364,0,0.666
41.5,1.373,0,0.669
41.75,1.385,0,0.671
42,1.399,0,0.674
42.25,1.41,0,0.677
42.5,1.423,0,0.679
42.75,1.435,0,0.681
43,1.443,0,0.684
43.25,1.45,0,0.687
43.5,1.457,0,0.689
43.75,1.466,0,0.692
44,1.474,0,0.694
44.25,1.476,0,0.696
44.5,1.478,0,0.699
44.75,1.482,0,0.701
45,1.484,0,0.704
45.25,1.49,0,0.706
45.5,1.495,0,0.709
45.75,1.498,0,0.711
46,1.501,0,0.714
46.25,1.5,0,0.716
46.5,1.506,0,0.718
46.75,1.503,0,0.72
47,1.502,0,0.723
47.25,1.5,0,0.725
47.5,1.505,0,0.727
47.75,1.509,0,0.729
48,1.51,0,0.732
48.25,1.513,0,0.734
48.5,1.515,0,0.736
48.75,1.521,0,0.738
49,1.526,0,0.741
49.25,1.537,0,0.743
49.5,1.546,0,0.745
49.75,1.554,0,0.747
50,1.563,0,0.749
50.25,1.572,0,0.751
50.5,1.582,0,0.754
50.75,1.593,0,0.756
51,1.601,0,0.758
51.25,1.607,0,0.76
51.5,1.615,0,0.761
51.75,1.619,0,0.764
52,1.624,0,0.766
52.25,1.627,0,0.768
52.5,1.629,0,0.77
52.75,1.633,0,0.772
53,1.635,0,0.774
53.25,1.634,0,0.776
53.5,1.64,0,0.778
53.75,1.643,0,0.78
54,1.646,0,0.782
54.25,1.648,0,0.783
54.5,1.65,0,0.785
54.75,1.653,0,0.787
55,1.656,0,0.789
55.25,1.663,0,0.791
55.5,1.663,0,0.793
55.75,1.668,0,0.794
56,1.671,0,0.796
56.25,1.674,0,0.798
56.5,1.677,0,0.8
56.75,1.675,0,0.801
57,1.68,0,0.803
57.25,1.685,0,0.805
57.5,1.683,0,0.806
57.75,1.687,0,0.808
58,1.689,0,0.81
58.25,1.695,0,0.811
58.5,1.699,0,0.813
58.75,1.699,0,0.815
59,1.702,0,0.816
59.25,1.705,0,0.818
59.5,1.707,0,0.819
59.75,1.713,0,0.821
60,1.712,0,0.822
60.25,1.717,0,0.824
60.5,1.717,0,0.825
60.75,1.719,0,0.827
61,1.722,0,0.829
61.25,1.723,0,0.83
61.5,1.726,0,0.832
61.75,1.729,0,0.833
62,1.728,0,0.834
62.25,1.731,0,0.836
62.5,1.735,0,0.837
62.75,1.738,0,0.839
63,1.739,0,0.84
63.25,1.739,0,0.841
63.5,1.741,0,0.843
63.75,1.742,0,0.844
64,1.745,0,0.845
64.25,1.747,0,0.847
64.5,1.748,0,0.848
64.75,1.749,0,0.849
65,1.752,0,0.851
65.25,1.755,0,0.852
65.5,1.754,0,0.854
65.75,1.757,0,0.855
66,1.758,0,0.856
66.25,1.758,0,0.857
66.5,1.761,0,0.858
66.75,1.763,0,0.86
67,1.765,0,0.861
67.25,1.767,0,0.862
67.5,1.768,0,0.863
67.75,1.771,0,0.864
68,1.773,0,0.865
68.25,1.772,0,0.866
68.5,1.775,0,0.868
68.75,1.776,0,0.869
69,1.78,0,0.87
69.25,1.782,0,0.871
69.5,1.782,0,0.872
69.75,1.783,0,0.873
70,1.786,0,0.874
70.25,1.786,0,0.875
70.5,1.789,0,0.875
70.75,1.788,0,0.876
71,1.792,0,0.877
71.25,1.792,0,0.878
71.5,1.796,0,0.878
71.75,1.797,0,0.879
72,1.797,0,0.879
72.25,1.798,0,0.88
72.5,1.801,0,0.88
72.75,1.802,0,0.88
73,1.803,0,0.879
73.25,1.805,0,0.879
73.5,1.807,0,0.878
73.75,1.809,0,0.877
74,1.812,0,0.876
74.25,1.812,0,0.876
74.5,1.812,0,0.875
74.75,1.813,0,0.874
75,1.816,0,0.873
75.25,1.818,0,0.873
75.5,1.82,0,0.872
75.75,1.823,0,0.871
76,1.822,0,0.87
76.25,1.823,0,0.869
76.5,1.822,0,0.868
76.75,1.823,0,0.868
77,1.825,0,0.867
77.25,1.827,0,0.867
77.5,1.828,0,0.866
77.75,1.828,0,0.865
78,1.828,0,0.865
78.25,1.829,0,0.864
78.5,1.831,0,0.864
78.75,1.832,0,0.863
79,1.833,0,0.863
79.25,1.833,0,0.862
79.5,1.836,0,0.862
79.75,1.837,0,0.861
80,1.837,0,0.861
80.25,1.841,0,0.86
80.5,1.839,0,0.86
80.75,1.842,0,0.86
81,1.842,0,0.859
81.25,1.843,0,0.859
81.5,1.846,0,0.858
81.75,1.845,0,0.858
82,1.849,0,0.858
82.25,1.848,0,0.857
82.5,1.85,0,0.857
82.75,1.853,0,0.857
83,1.851,0,0.856
83.25,1.852,0,0.856
83.5,1.852,0,0.856
83.75,1.855,0,0.856
84,1.855,0,0.856
84.25,1.853,0,0.855
84.5,1.855,0,0.855
84.75,1.855,0,0.855
85,1.858,0,0.854
85.25,1.858,0,0.854
85.5,1.857,0,0.854
85.75,1.858,0,0.854
86,1.859,0,0.854
86.25,1.861,0,0.854
86.5,1.859,0,0.853
86.75,1.86,0,0.853
87,1.859,0,0.853
87.25,1.859,0,0.853
87.5,1.857,0,0.853
87.75,1.86,0,0.852
88,1.859,0,0.852
88.25,1.862,0,0.852
88.5,1.862,0,0.852
88.75,1.86,0,0.852
89,1.862,0,0.851
89.25,1.864,0,0.851
89.5,1.864,0,0.851
89.75,1.868,0,0.851
90,1.868,0,0.851
90.25,1.867,0,0.851
90.5,1.871,0,0.851
90.75,1.872,0,0.851
91,1.875,0,0.851
91.25,1.875,0,0.851
91.5,1.878,0,0.851
91.75,1.879,0,0.851
92,1.88,0,0.851
92.25,1.882,0,0.851
92.5,1.883,0,0.851
92.75,1.883,0,0.851
93,1.886,0,0.851
93.25,1.886,0,0.851
93.5,1.889,0,0.851
93.75,1.888,0,0.851
94,1.891,0,0.851
94.25,1.89,0,0.851
94.5,1.89,0,0.851
94.75,1.891,0,0.851
95,1.89,0,0.851
95.25,1.893,0,0.851
95.5,1.893,0,0.851
95.75,1.894,0,0.851
96,1.894,0,0.852
