time,LP,LB
71.25,0.548,0.34
71.5,0.548,0.34
71.75,0.549,0.341
72,0.55,0.341
72.25,0.55,0.341
72.5,0.551,0.341
72.75,0.552,0.341
73,0.553,0.341
73.25,0.553,0.341
73.5,0.554,0.341
73.75,0.555,0.341
74,0.555,0.341
74.25,0.556,0.341
74.5,0.557,0.341
74.75,0.558,0.341
75,0.558,0.341
75.25,0.559,0.341
75.5,0.559,0.341
75.75,0.56,0.341
76,0.561,0.341
76.25,0.561,0.341
76.5,0.562,0.341
76.75,0.563,0.341
77,0.563,0.341
77.25,0.564,0.341
77.5,0.565,0.341
77.75,0.565,0.341
78,0.566,0.341
78.25,0.566,0.341
78.5,0.567,0.342
78.75,0.568,0.342
79,0.568,0.341
79.25,0.569,0.341
79.5,0.57,0.341
79.75,0.57,0.341
80,0.571,0.341
80.25,0.572,0.341
80.5,0.572,0.342
80.75,0.573,0.341
81,0.573,0.341
81.25,0.574,0.342
81.5,0.574,0.342
81.75,0.575,0.342
82,0.576,0.342
82.25,0.577,0.342
82.5,0.577,0.342
82.75,0.578,0.342
83,0.578,0.342
83.25,0.579,0.342
83.5,0.58,0.342
83.75,0.58,0.342
84,0.581,0.342
84.25,0.581,0.342
84.5,0.582,0.342
84.75,0.583,0.342
85,0.583,0.342
85.25,0.584,0.342
85.5,0.584,0.342
85.75,0.585,0.342
86,0.585,0.342
86.25,0.586,0.342
86.5,0.587,0.342
86.75,0.587,0.342
87,0.588,0.342
87.25,0.588,0.342
87.5,0.589,0.342
87.75,0.59,0.342
88,0.59,0.342
88.25,0.591,0.342
88.5,0.591,0.342
88.75,0.592,0.342
89,0.592,0.342
89.25,0.593,0.342
89.5,0.594,0.342
89.75,0.594,0.342
90,0.595,0.342
90.25,0.596,0.342
90.5,0.596,0.342
90.75,0.597,0.342
91,0.597,0.342
91.25,0.598,0.342
91.5,0.598,0.342
91.75,0.599,0.342
92,0.599,0.342
92.25,0.6,0.342
92.5,0.6,0.342
92.75,0.601,0.342
93,0.602,0.342
93.25,0.602,0.342
93.5,0.603,0.341
93.75,0.603,0.341
94,0.604,0.341
94.25,0.604,0.341
94.5,0.605,0.341
94.75,0.606,0.342
95,0.606,0.341
95.25,0.606,0.341
95.5,0.607,0.341
95.75,0.608,0.341
96,0.608,0.341
