time,AO,LB
2,0.162,0.152
2.25,0.162,0.152
2.5,0.162,0.152
2.75,0.162,0.153
3,0.162,0.153
3.25,0.162,0.153
3.5,0.162,0.153
3.75,0.162,0.154
4,0.163,0.154
4.25,0.163,0.154
4.5,0.163,0.154
4.75,0.163,0.155
5,0.163,0.155
5.25,0.163,0.156
5.5,0.164,0.156
5.75,0.164,0.157
6,0.164,0.158
6.25,0.164,0.159
6.5,0.165,0.16
6.75,0.165,0.161
7,0.166,0.162
7.25,0.166,0.164
7.5,0.166,0.165
7.75,0.167,0.166
8,0.168,0.169
8.25,0.168,0.171
8.5,0.169,0.173
8.75,0.17,0.176
9,0.171,0.178
9.25,0.172,0.181
9.5,0.173,0.185
9.75,0.174,0.188
10,0.175,0.192
10.25,0.176,0.196
10.5,0.177,0.199
10.75,0.178,0.204
11,0.178,0.21
11.25,0.179,0.214
11.5,0.18,0.219
11.75,0.181,0.224
12,0.181,0.229
12.25,0.182,0.234
12.5,0.183,0.24
12.75,0.184,0.245
13,0.184,0.25
13.25,0.185,0.256
13.5,0.186,0.261
13.75,0.187,0.265
14,0.189,0.269
14.25,0.19,0.276
14.5,0.191,0.279
14.75,0.192,0.284
15,0.192,0.289
15.25,0.194,0.293
15.5,0.196,0.298
15.75,0.198,0.302
16,0.2,0.306
16.25,0.203,0.311
16.5,0.205,0.314
16.75,0.207,0.319
17,0.21,0.324
17.25,0.212,0.327
17.5,0.214,0.329
17.75,0.216,0.334
18,0.221,0.337
18.25,0.225,0.34
18.5,0.228,0.344
18.75,0.232,0.348
19,0.238,0.349
19.25,0.241,0.354
19.5,0.245,0.358
19.75,0.249,0.36
20,0.252,0.363
20.25,0.256,0.367
20.5,0.258,0.37
20.75,0.262,0.373
21,0.266,0.376
21.25,0.27,0.38
21.5,0.275,0.383
21.75,0.28,0.386
22,0.286,0.388
22.25,0.292,0.393
22.5,0.298,0.396
22.75,0.306,0.398
23,0.316,0.398
23.25,0.325,0.403
23.5,0.332,0.407
23.75,0.343,0.406
24,0.356,0.407
24.25,0.368,0.413
24.5,0.375,0.412
24.75,0.389,0.419
25,0.401,0.421
25.25,0.415,0.423
25.5,0.428,0.426
25.75,0.441,0.429
26,0.457,0.431
26.25,0.467,0.433
26.5,0.483,0.434
26.75,0.492,0.439
27,0.506,0.441
27.25,0.519,0.444
27.5,0.532,0.448
27.75,0.55,0.45
28,0.562,0.452
28.25,0.572,0.455
28.5,0.587,0.457
28.75,0.597,0.463
29,0.613,0.464
29.25,0.625,0.467
29.5,0.636,0.468
29.75,0.649,0.47
30,0.661,0.473
30.25,0.674,0.475
30.5,0.682,0.48
30.75,0.696,0.483
31,0.709,0.486
31.25,0.72,0.487
31.5,0.734,0.492
31.75,0.747,0.49
32,0.759,0.494
32.25,0.772,0.496
32.5,0.784,0.5
32.75,0.796,0.502
33,0.81,0.504
33.25,0.821,0.506
33.5,0.831,0.507
33.75,0.843,0.511
34,0.854,0.513
34.25,0.864,0.516
34.5,0.875,0.517
34.75,0.886,0.519
35,0.895,0.519
35.25,0.907,0.523
35.5,0.919,0.525
35.75,0.929,0.527
36,0.939,0.528
36.25,0.949,0.529
36.5,0.961,0.532
36.75,0.972,0.533
37,0.979,0.536
37.25,0.988,0.538
37.5,0.998,0.538
37.75,1.008,0.54
38,1.017,0.543
38.25,1.02,0.544
38.5,1.028,0.546
38.75,1.039,0.547
39,1.051,0.547
39.25,1.061,0.551
39.5,1.071,0.55
39.75,1.081,0.552
40,1.095,0.554
40.25,1.11,0.556
40.5,1.123,0.557
40.75,1.135,0.558
41,1.147,0.56
41.25,1.155,0.561
41.5,1.163,0.562
41.75,1.17,0.564
42,1.175,0.565
42.25,1.182,0.567
42.5,1.187,0.568
42.75,1.194,0.57
43,1.2,0.57
43.25,1.209,0.571
43.5,1.218,0.572
43.75,1.226,0.573
44,1.233,0.574
44.25,1.24,0.575
44.5,1.247,0.576
44.75,1.256,0.577
45,1.263,0.579
45.25,1.269,0.58
45.5,1.278,0.581
45.75,1.283,0.582
46,1.289,0.583
46.25,1.297,0.584
46.5,1.305,0.585
46.75,1.311,0.586
47,1.318,0.587
47.25,1.325,0.588
47.5,1.332,0.589
47.75,1.339,0.59
48,1.345,0.591
48.25,1.353,0.592
48.5,1.357,0.593
48.75,1.365,0.594
49,1.372,0.594
49.25,1.378,0.595
49.5,1.386,0.596
49.75,1.392,0.597
50,1.397,0.598
50.25,1.404,0.598
50.5,1.409,0.6
50.75,1.416,0.6
51,1.422,0.602
51.25,1.427,0.602
51.5,1.432,0.603
51.75,1.439,0.604
52,1.444,0.604
52.25,1.448,0.605
52.5,1.452,0.606
52.75,1.457,0.607
53,1.46,0.607
53.25,1.468,0.608
53.5,1.471,0.608
53.75,1.477,0.609
54,1.482,0.61
54.25,1.486,0.611
54.5,1.49,0.612
54.75,1.494,0.612
55,1.498,0.613
55.25,1.503,0.613
55.5,1.506,0.614
55.75,1.511,0.615
56,1.515,0.615
56.25,1.519,0.616
56.5,1.523,0.617
56.75,1.527,0.618
57,1.53,0.618
57.25,1.533,0.618
57.5,1.537,0.619
57.75,1.542,0.62
58,1.546,0.621
58.25,1.549,0.621
58.5,1.552,0.622
58.75,1.555,0.623
59,1.559,0.623
59.25,1.563,0.624
59.5,1.565,0.625
59.75,1.569,0.625
60,1.571,0.626
60.25,1.576,0.626
60.5,1.579,0.627
60.75,1.581,0.627
61,1.585,0.628
61.25,1.588,0.629
61.5,1.59,0.629
61.75,1.594,0.63
62,1.596,0.63
62.25,1.599,0.631
62.5,1.602,0.632
62.75,1.605,0.633
63,1.608,0.633
63.25,1.612,0.634
63.5,1.612,0.634
63.75,1.616,0.634
64,1.619,0.636
64.25,1.621,0.636
64.5,1.624,0.637
64.75,1.628,0.637
65,1.63,0.638
65.25,1.631,0.638
65.5,1.633,0.638
65.75,1.637,0.639
66,1.64,0.64
66.25,1.642,0.64
66.5,1.644,0.641
66.75,1.645,0.641
67,1.649,0.641
67.25,1.651,0.642
67.5,1.653,0.642
67.75,1.656,0.643
68,1.658,0.643
68.25,1.66,0.644
68.5,1.662,0.644
68.75,1.665,0.645
69,1.666,0.645
69.25,1.667,0.645
69.5,1.67,0.646
69.75,1.672,0.647
70,1.673,0.647
70.25,1.676,0.648
70.5,1.678,0.648
70.75,1.679,0.649
71,1.68,0.649
71.25,1.684,0.65
71.5,1.685,0.65
71.75,1.687,0.651
72,1.689,0.651
72.25,1.69,0.651
72.5,1.692,0.651
72.75,1.693,0.652
73,1.695,0.652
73.25,1.698,0.653
73.5,1.698,0.654
73.75,1.701,0.654
74,1.703,0.655
74.25,1.704,0.655
74.5,1.705,0.656
74.75,1.707,0.656
75,1.709,0.656
75.25,1.71,0.657
75.5,1.712,0.657
75.75,1.714,0.657
76,1.714,0.658
76.25,1.716,0.658
76.5,1.717,0.659
76.75,1.718,0.659
77,1.721,0.66
77.25,1.722,0.66
77.5,1.723,0.66
77.75,1.724,0.661
78,1.725,0.661
78.25,1.727,0.662
78.5,1.728,0.662
78.75,1.729,0.662
79,1.731,0.663
79.25,1.731,0.663
79.5,1.733,0.664
79.75,1.734,0.664
80,1.734,0.664
80.25,1.736,0.664
80.5,1.737,0.665
80.75,1.738,0.665
81,1.739,0.666
81.25,1.74,0.666
81.5,1.741,0.666
81.75,1.742,0.667
82,1.743,0.667
82.25,1.744,0.668
82.5,1.745,0.668
82.75,1.746,0.669
83,1.748,0.669
83.25,1.748,0.669
83.5,1.749,0.67
83.75,1.75,0.67
84,1.751,0.67
84.25,1.75,0.671
84.5,1.752,0.671
84.75,1.753,0.671
85,1.753,0.672
85.25,1.754,0.672
85.5,1.755,0.673
85.75,1.756,0.673
86,1.757,0.674
86.25,1.757,0.674
86.5,1.757,0.674
86.75,1.758,0.674
87,1.76,0.675
87.25,1.76,0.675
87.5,1.761,0.676
87.75,1.761,0.676
88,1.762,0.676
88.25,1.763,0.676
88.5,1.764,0.677
88.75,1.765,0.677
89,1.765,0.677
89.25,1.766,0.678
89.5,1.767,0.678
89.75,1.767,0.678
90,1.767,0.678
90.25,1.768,0.679
90.5,1.769,0.679
90.75,1.77,0.68
91,1.771,0.68
91.25,1.771,0.68
91.5,1.772,0.68
91.75,1.772,0.681
92,1.772,0.681
92.25,1.774,0.681
92.5,1.775,0.682
92.75,1.774,0.682
93,1.776,0.683
93.25,1.776,0.683
93.5,1.777,0.683
93.75,1.778,0.684
94,1.778,0.684
94.25,1.778,0.684
94.5,1.779,0.684
94.75,1.78,0.685
95,1.781,0.685
95.25,1.781,0.685
95.5,1.782,0.686
95.75,1.782,0.686
96,1.783,0.686
