time,AO,LB,LP
71.25,0,0.664,0
71.5,0,0.664,0
71.75,0,0.664,0
72,0,0.665,0
72.25,0,0.666,0
72.5,0,0.666,0
72.75,0,0.667,0
73,0,0.667,0
73.25,0,0.667,0
73.5,0,0.668,0
73.75,0,0.668,0
74,0,0.669,0
74.25,0,0.669,0
74.5,0,0.669,0
74.75,0,0.67,0
75,0,0.67,0
75.25,0,0.671,0
75.5,0,0.671,0
75.75,0,0.672,0
76,0,0.672,0
76.25,0,0.672,0
76.5,0,0.673,0
76.75,0,0.674,0
77,0,0.674,0
77.25,0,0.675,0
77.5,0,0.675,0
77.75,0,0.676,0
78,0,0.676,0
78.25,0,0.677,0
78.5,0,0.677,0
78.75,0,0.677,0
79,0,0.678,0
79.25,0,0.678,0
79.5,0,0.679,0
79.75,0,0.679,0
80,0,0.679,0
80.25,0,0.68,0
80.5,0,0.681,0
80.75,0,0.681,0
81,0,0.681,0
81.25,0,0.682,0
81.5,0,0.682,0
81.75,0,0.682,0
82,0,0.683,0
82.25,0,0.684,0
82.5,0,0.684,0
82.75,0,0.684,0
83,0,0.684,0
83.25,0,0.685,0
83.5,0,0.685,0
83.75,0,0.686,0
84,0,0.686,0
84.25,0,0.687,0
84.5,0,0.687,0
84.75,0,0.687,0
85,0,0.687,0
85.25,0,0.687,0
85.5,0,0.688,0
85.75,0,0.689,0
86,0,0.689,0
86.25,0,0.689,0
86.5,0,0.689,0
86.75,0,0.69,0
87,0,0.691,0
87.25,0,0.691,0
87.5,0,0.691,0
87.75,0,0.691,0
88,0,0.692,0
88.25,0,0.692,0
88.5,0,0.692,0
88.75,0,0.692,0
89,0,0.693,0
89.25,0,0.693,0
89.5,0,0.693,0
89.75,0,0.694,0
90,0,0.694,0
90.25,0,0.695,0
90.5,0,0.695,0
90.75,0,0.695,0
91,0,0.695,0
91.25,0,0.695,0
91.5,0,0.695,0
91.75,0,0.696,0
92,0,0.696,0
92.25,0,0.696,0
92.5,0,0.696,0
92.75,0,0.696,0
93,0,0.697,0
93.25,0,0.697,0
93.5,0,0.697,0
93.75,0,0.697,0
94,0,0.698,0
94.25,0,0.698,0
94.5,0,0.698,0
94.75,0,0.698,0
95,0,0.699,0
95.25,0,0.699,0
95.5,0,0.699,0
95.75,0,0.699,0
96,0,0.7,0
