time,AO,LB,LP
2,0,0.164,0.15
2.25,0,0.164,0.15
2.5,0,0.165,0.15
2.75,0,0.165,0.15
3,0,0.165,0.15
3.25,0,0.165,0.15
3.5,0,0.165,0.15
3.75,0,0.165,0.15
4,0,0.166,0.15
4.25,0,0.166,0.15
4.5,0,0.166,0.151
4.75,0,0.166,0.151
5,0,0.167,0.151
5.25,0,0.167,0.151
5.5,0,0.167,0.151
5.75,0,0.168,0.152
6,0,0.168,0.152
6.25,0,0.169,0.152
6.5,0,0.169,0.153
6.75,0,0.17,0.153
7,0,0.17,0.154
7.25,0,0.172,0.155
7.5,0,0.172,0.155
7.75,0,0.173,0.156
8,0,0.174,0.157
8.25,0,0.175,0.158
8.5,0,0.177,0.159
8.75,0,0.179,0.16
9,0,0.18,0.162
9.25,0,0.182,0.163
9.5,0,0.184,0.165
9.75,0,0.186,0.166
10,0,0.189,0.168
10.25,0,0.192,0.17
10.5,0,0.195,0.172
10.75,0,0.197,0.174
11,0,0.2,0.176
11.25,0,0.203,0.179
11.5,0,0.206,0.181
11.75,0,0.209,0.184
12,0,0.211,0.186
12.25,0,0.215,0.189
12.5,0,0.218,0.192
12.75,0,0.22,0.194
13,0,0.223,0.198
13.25,0,0.227,0.2
13.5,0,0.231,0.203
13.75,0,0.234,0.206
14,0,0.237,0.208
14.25,0,0.24,0.211
14.5,0,0.242,0.214
14.75,0,0.246,0.217
15,0,0.249,0.22
15.25,0,0.251,0.222
15.5,0,0.254,0.225
15.75,0,0.256,0.228
16,0,0.259,0.231
16.25,0,0.261,0.233
16.5,0,0.263,0.236
16.75,0,0.265,0.238
17,0,0.266,0.241
17.25,0,0.268,0.243
17.5,0,0.268,0.246
17.75,0,0.268,0.248
18,0,0.271,0.251
18.25,0,0.273,0.253
18.5,0,0.277,0.255
18.75,0,0.279,0.258
19,0,0.28,0.26
19.25,0,0.28,0.262
19.5,0,0.282,0.265
19.75,0,0.284,0.267
20,0,0.284,0.269
20.25,0,0.286,0.271
20.5,0,0.287,0.273
20.75,0,0.288,0.275
21,0,0.289,0.276
21.25,0,0.29,0.28
21.5,0,0.292,0.281
21.75,0,0.293,0.283
22,0,0.294,0.285
22.25,0,0.293,0.288
22.5,0,0.294,0.29
22.75,0,0.295,0.292
23,0,0.296,0.294
23.25,0,0.298,0.296
23.5,0,0.298,0.298
23.75,0,0.299,0.299
24,0,0.299,0.301
24.25,0,0.3,0.303
24.5,0,0.301,0.305
24.75,0,0.303,0.308
25,0,0.304,0.31
25.25,0,0.304,0.312
25.5,0,0.304,0.314
25.75,0,0.304,0.315
26,0,0.304,0.318
26.25,0,0.306,0.32
26.5,0,0.306,0.322
26.75,0,0.307,0.324
27,0,0.308,0.326
27.25,0,0.308,0.327
27.5,0,0.309,0.329
27.75,0,0.309,0.331
28,0,0.309,0.333
28.25,0,0.31,0.335
28.5,0,0.311,0.337
28.75,0,0.311,0.339
29,0,0.311,0.341
29.25,0,0.312,0.343
29.5,0,0.313,0.344
29.75,0,0.314,0.346
30,0,0.314,0.348
30.25,0,0.315,0.349
30.5,0,0.316,0.351
30.75,0,0.316,0.353
31,0,0.317,0.355
31.25,0,0.317,0.357
31.5,0,0.317,0.358
31.75,0,0.318,0.36
32,0,0.318,0.361
32.25,0,0.319,0.363
32.5,0,0.32,0.365
32.75,0,0.32,0.366
33,0,0.32,0.368
33.25,0,0.321,0.369
33.5,0,0.321,0.371
33.75,0,0.322,0.373
34,0,0.322,0.374
34.25,0,0.322,0.376
34.5,0,0.323,0.378
34.75,0,0.323,0.379
35,0,0.323,0.381
35.25,0,0.323,0.382
35.5,0,0.324,0.384
35.75,0,0.324,0.385
36,0,0.325,0.387
36.25,0,0.325,0.388
36.5,0,0.325,0.39
36.75,0,0.326,0.392
37,0,0.327,0.393
37.25,0,0.327,0.395
37.5,0,0.327,0.396
37.75,0,0.327,0.398
38,0,0.327,0.399
38.25,0,0.328,0.401
38.5,0,0.328,0.402
38.75,0,0.328,0.403
39,0,0.328,0.405
39.25,0,0.329,0.406
