time,AO
2,0.153
2.25,0.153
2.5,0.153
2.75,0.153
3,0.153
3.25,0.153
3.5,0.154
3.75,0.154
4,0.154
4.25,0.154
4.5,0.154
4.75,0.154
5,0.154
5.25,0.154
5.5,0.155
5.75,0.155
6,0.155
6.25,0.155
6.5,0.155
6.75,0.156
7,0.156
7.25,0.157
7.5,0.157
7.75,0.158
8,0.158
8.25,0.159
8.5,0.159
8.75,0.16
9,0.161
9.25,0.163
9.5,0.164
9.75,0.165
10,0.166
10.25,0.167
10.5,0.168
10.75,0.169
11,0.17
11.25,0.171
11.5,0.173
11.75,0.174
12,0.175
12.25,0.176
12.5,0.178
12.75,0.179
13,0.181
13.25,0.182
13.5,0.184
13.75,0.185
14,0.187
14.25,0.189
14.5,0.191
14.75,0.193
15,0.195
15.25,0.197
15.5,0.199
15.75,0.201
16,0.204
16.25,0.206
16.5,0.208
16.75,0.211
17,0.213
17.25,0.216
17.5,0.219
17.75,0.222
18,0.224
18.25,0.227
18.5,0.23
18.75,0.234
19,0.236
19.25,0.239
19.5,0.242
19.75,0.246
20,0.249
20.25,0.252
20.5,0.256
20.75,0.26
21,0.263
21.25,0.268
21.5,0.271
21.75,0.276
22,0.28
22.25,0.286
22.5,0.289
22.75,0.293
23,0.297
23.25,0.302
23.5,0.306
23.75,0.311
24,0.316
24.25,0.32
24.5,0.324
24.75,0.329
25,0.334
25.25,0.339
25.5,0.341
25.75,0.347
26,0.351
26.25,0.355
26.5,0.359
26.75,0.363
27,0.366
27.25,0.371
27.5,0.376
27.75,0.379
28,0.383
28.25,0.389
28.5,0.391
28.75,0.396
29,0.401
29.25,0.403
29.5,0.409
29.75,0.413
30,0.419
30.25,0.422
30.5,0.426
30.75,0.429
31,0.434
31.25,0.439
31.5,0.444
31.75,0.447
32,0.452
32.25,0.456
32.5,0.461
32.75,0.464
33,0.467
33.25,0.471
33.5,0.474
33.75,0.478
34,0.481
34.25,0.484
34.5,0.487
34.75,0.491
35,0.493
35.25,0.497
35.5,0.5
35.75,0.503
36,0.505
36.25,0.508
36.5,0.513
36.75,0.515
37,0.518
37.25,0.522
37.5,0.524
37.75,0.526
38,0.528
38.25,0.531
38.5,0.535
38.75,0.538
39,0.541
39.25,0.544
39.5,0.547
39.75,0.55
40,0.554
40.25,0.556
40.5,0.558
40.75,0.559
41,0.564
41.25,0.567
41.5,0.57
41.75,0.574
42,0.575
42.25,0.578
42.5,0.58
42.75,0.582
43,0.585
43.25,0.587
43.5,0.59
43.75,0.592
44,0.594
44.25,0.596
44.5,0.598
44.75,0.601
45,0.604
45.25,0.605
45.5,0.608
45.75,0.609
46,0.611
46.25,0.614
46.5,0.616
46.75,0.618
47,0.619
47.25,0.621
47.5,0.624
