time,AO,LB,LP
71.25,0,0,0.728
71.5,0,0,0.729
71.75,0,0,0.73
72,0,0,0.731
72.25,0,0,0.732
72.5,0,0,0.733
72.75,0,0,0.734
73,0,0,0.735
73.25,0,0,0.737
73.5,0,0,0.737
73.75,0,0,0.738
74,0,0,0.739
74.25,0,0,0.74
74.5,0,0,0.742
74.75,0,0,0.742
75,0,0,0.743
75.25,0,0,0.744
75.5,0,0,0.745
75.75,0,0,0.746
76,0,0,0.747
76.25,0,0,0.748
76.5,0,0,0.749
76.75,0,0,0.749
77,0,0,0.75
77.25,0,0,0.751
77.5,0,0,0.752
77.75,0,0,0.753
78,0,0,0.754
78.25,0,0,0.755
78.5,0,0,0.756
78.75,0,0,0.757
79,0,0,0.758
79.25,0,0,0.759
79.5,0,0,0.759
79.75,0,0,0.76
80,0,0,0.761
80.25,0,0,0.762
80.5,0,0,0.763
80.75,0,0,0.764
81,0,0,0.764
81.25,0,0,0.765
81.5,0,0,0.766
81.75,0,0,0.767
82,0,0,0.768
82.25,0,0,0.769
82.5,0,0,0.77
82.75,0,0,0.77
83,0,0,0.771
83.25,0,0,0.772
83.5,0,0,0.773
83.75,0,0,0.774
84,0,0,0.775
84.25,0,0,0.775
84.5,0,0,0.776
84.75,0,0,0.777
85,0,0,0.778
85.25,0,0,0.779
85.5,0,0,0.779
85.75,0,0,0.78
86,0,0,0.781
86.25,0,0,0.782
86.5,0,0,0.783
86.75,0,0,0.783
87,0,0,0.784
87.25,0,0,0.785
87.5,0,0,0.786
87.75,0,0,0.787
88,0,0,0.788
88.25,0,0,0.788
88.5,0,0,0.789
88.75,0,0,0.79
89,0,0,0.791
89.25,0,0,0.791
89.5,0,0,0.792
89.75,0,0,0.793
90,0,0,0.793
90.25,0,0,0.794
90.5,0,0,0.795
90.75,0,0,0.796
91,0,0,0.797
91.25,0,0,0.798
91.5,0,0,0.798
91.75,0,0,0.799
92,0,0,0.799
92.25,0,0,0.8
92.5,0,0,0.801
92.75,0,0,0.802
93,0,0,0.802
93.25,0,0,0.803
93.5,0,0,0.804
93.75,0,0,0.804
94,0,0,0.805
94.25,0,0,0.806
94.5,0,0,0.807
94.75,0,0,0.807
95,0,0,0.808
95.25,0,0,0.808
95.5,0,0,0.809
95.75,0,0,0.81
96,0,0,0.81
