time,AO,LP
71.25,1.782,0.842
71.5,1.783,0.842
71.75,1.784,0.843
72,1.785,0.844
72.25,1.788,0.844
72.5,1.788,0.845
72.75,1.789,0.845
73,1.791,0.846
73.25,1.792,0.846
73.5,1.794,0.847
73.75,1.795,0.847
74,1.796,0.847
74.25,1.797,0.848
74.5,1.8,0.848
74.75,1.802,0.848
75,1.802,0.848
75.25,1.804,0.848
75.5,1.804,0.847
75.75,1.805,0.847
76,1.807,0.847
76.25,1.808,0.846
76.5,1.809,0.845
76.75,1.811,0.844
77,1.813,0.844
77.25,1.813,0.843
77.5,1.814,0.842
77.75,1.815,0.842
78,1.816,0.841
78.25,1.817,0.84
78.5,1.819,0.84
78.75,1.82,0.839
79,1.821,0.839
79.25,1.822,0.838
79.5,1.823,0.837
79.75,1.825,0.837
80,1.825,0.836
80.25,1.827,0.836
80.5,1.829,0.835
80.75,1.829,0.835
81,1.831,0.835
81.25,1.832,0.834
81.5,1.834,0.834
81.75,1.833,0.833
82,1.835,0.833
82.25,1.835,0.833
82.5,1.836,0.832
82.75,1.838,0.832
83,1.837,0.832
83.25,1.839,0.831
83.5,1.839,0.831
83.75,1.84,0.831
84,1.842,0.83
84.25,1.846,0.83
84.5,1.845,0.83
84.75,1.845,0.829
85,1.847,0.829
85.25,1.846,0.829
85.5,1.85,0.828
85.75,1.847,0.828
86,1.85,0.828
86.25,1.85,0.828
86.5,1.849,0.827
86.75,1.852,0.827
87,1.852,0.827
87.25,1.855,0.827
87.5,1.855,0.826
87.75,1.854,0.826
88,1.859,0.826
88.25,1.856,0.826
88.5,1.857,0.826
88.75,1.856,0.826
89,1.858,0.825
89.25,1.86,0.825
89.5,1.863,0.825
89.75,1.865,0.825
90,1.863,0.825
90.25,1.866,0.825
90.5,1.866,0.825
90.75,1.865,0.825
91,1.864,0.825
91.25,1.863,0.824
91.5,1.865,0.824
91.75,1.869,0.824
92,1.868,0.824
92.25,1.872,0.824
92.5,1.87,0.824
92.75,1.868,0.824
93,1.868,0.824
93.25,1.871,0.824
93.5,1.871,0.824
93.75,1.87,0.824
94,1.872,0.824
94.25,1.872,0.825
94.5,1.872,0.825
94.75,1.873,0.825
95,1.874,0.825
95.25,1.874,0.825
95.5,1.873,0.825
95.75,1.873,0.825
96,1.873,0.825
