time,AO
2,0.159
2.25,0.159
2.5,0.159
2.75,0.159
3,0.159
3.25,0.159
3.5,0.159
3.75,0.159
4,0.159
4.25,0.159
4.5,0.159
4.75,0.159
5,0.16
5.25,0.16
5.5,0.16
5.75,0.16
6,0.16
6.25,0.161
6.5,0.161
6.75,0.161
7,0.161
7.25,0.162
7.5,0.162
7.75,0.163
8,0.163
8.25,0.164
8.5,0.165
8.75,0.166
9,0.167
9.25,0.168
9.5,0.169
9.75,0.17
10,0.171
10.25,0.172
10.5,0.173
10.75,0.174
11,0.174
11.25,0.175
11.5,0.176
11.75,0.177
12,0.178
12.25,0.18
12.5,0.18
12.75,0.182
13,0.183
13.25,0.184
13.5,0.185
13.75,0.187
14,0.189
14.25,0.19
14.5,0.191
14.75,0.193
15,0.195
15.25,0.196
15.5,0.198
15.75,0.2
16,0.202
16.25,0.204
16.5,0.205
16.75,0.208
17,0.211
17.25,0.213
17.5,0.216
17.75,0.218
18,0.22
18.25,0.223
18.5,0.226
18.75,0.229
19,0.231
19.25,0.234
19.5,0.236
19.75,0.239
20,0.241
20.25,0.244
20.5,0.246
20.75,0.25
21,0.252
21.25,0.256
21.5,0.261
21.75,0.266
22,0.271
22.25,0.276
22.5,0.282
22.75,0.286
23,0.29
23.25,0.295
23.5,0.301
23.75,0.305
24,0.312
24.25,0.318
24.5,0.324
24.75,0.33
25,0.337
25.25,0.344
25.5,0.349
25.75,0.354
26,0.359
26.25,0.365
26.5,0.369
26.75,0.375
27,0.378
27.25,0.383
27.5,0.388
27.75,0.392
28,0.396
28.25,0.401
28.5,0.406
28.75,0.41
29,0.415
29.25,0.42
29.5,0.423
29.75,0.428
30,0.431
30.25,0.433
30.5,0.439
30.75,0.44
31,0.446
31.25,0.448
31.5,0.456
31.75,0.457
32,0.461
32.25,0.466
32.5,0.468
32.75,0.47
33,0.478
33.25,0.482
33.5,0.487
33.75,0.49
34,0.495
34.25,0.499
34.5,0.5
34.75,0.507
35,0.512
35.25,0.517
35.5,0.521
35.75,0.526
36,0.531
36.25,0.538
36.5,0.539
36.75,0.545
37,0.548
37.25,0.555
37.5,0.556
37.75,0.563
38,0.567
38.25,0.569
38.5,0.576
38.75,0.579
39,0.58
39.25,0.586
39.5,0.588
39.75,0.591
40,0.597
40.25,0.599
40.5,0.603
40.75,0.607
41,0.611
41.25,0.613
41.5,0.616
41.75,0.619
42,0.622
42.25,0.625
42.5,0.628
42.75,0.631
43,0.633
43.25,0.635
43.5,0.637
43.75,0.641
44,0.641
44.25,0.644
44.5,0.646
44.75,0.648
45,0.651
45.25,0.653
45.5,0.654
45.75,0.657
46,0.659
46.25,0.661
46.5,0.664
46.75,0.665
47,0.667
47.25,0.669
47.5,0.671
47.75,0.673
48,0.675
48.25,0.677
48.5,0.679
48.75,0.681
49,0.683
49.25,0.685
49.5,0.687
49.75,0.689
50,0.692
50.25,0.694
50.5,0.696
50.75,0.697
51,0.699
51.25,0.701
51.5,0.702
51.75,0.704
52,0.705
52.25,0.707
52.5,0.708
52.75,0.71
53,0.711
53.25,0.714
53.5,0.715
53.75,0.716
54,0.717
54.25,0.719
54.5,0.72
54.75,0.721
55,0.722
55.25,0.724
55.5,0.725
55.75,0.726
56,0.727
56.25,0.728
56.5,0.73
56.75,0.732
57,0.733
57.25,0.734
57.5,0.735
57.75,0.736
58,0.738
58.25,0.739
58.5,0.74
58.75,0.741
59,0.742
59.25,0.743
59.5,0.744
59.75,0.745
60,0.747
60.25,0.747
60.5,0.749
60.75,0.749
61,0.751
61.25,0.752
61.5,0.752
61.75,0.754
62,0.755
62.25,0.756
62.5,0.757
62.75,0.758
63,0.758
63.25,0.76
63.5,0.761
63.75,0.762
64,0.763
64.25,0.764
64.5,0.766
64.75,0.767
65,0.767
65.25,0.768
65.5,0.769
65.75,0.77
66,0.772
66.25,0.772
66.5,0.773
66.75,0.775
67,0.775
67.25,0.778
67.5,0.778
67.75,0.779
68,0.779
68.25,0.781
68.5,0.782
68.75,0.783
69,0.784
69.25,0.786
69.5,0.786
69.75,0.787
70,0.788
70.25,0.789
70.5,0.79
70.75,0.791
71,0.792
71.25,0.793
71.5,0.794
71.75,0.795
72,0.795
72.25,0.798
72.5,0.798
72.75,0.799
73,0.8
73.25,0.801
73.5,0.801
73.75,0.803
74,0.803
