time,AO,LP,LB
0,0,0.159,0
0.25,0,0.159,0
0.5,0,0.159,0
0.75,0,0.158,0
1,0,0.157,0
1.25,0,0.157,0
1.5,0,0.157,0
1.75,0,0.157,0
2,0,0.157,0
2.25,0,0.157,0
2.5,0,0.157,0
2.75,0,0.158,0
3,0,0.158,0
3.25,0,0.158,0
3.5,0,0.158,0
3.75,0,0.158,0
4,0,0.158,0
4.25,0,0.158,0
4.5,0,0.158,0
4.75,0,0.159,0
5,0,0.159,0
5.25,0,0.159,0
5.5,0,0.16,0
5.75,0,0.16,0
6,0,0.16,0
6.25,0,0.161,0
6.5,0,0.161,0
6.75,0,0.162,0
7,0,0.163,0
7.25,0,0.164,0
7.5,0,0.165,0
7.75,0,0.166,0
8,0,0.167,0
8.25,0,0.169,0
8.5,0,0.17,0
8.75,0,0.171,0
9,0,0.173,0
9.25,0,0.175,0
9.5,0,0.176,0
9.75,0,0.178,0
10,0,0.181,0
10.25,0,0.183,0
10.5,0,0.185,0
10.75,0,0.188,0
11,0,0.19,0
11.25,0,0.193,0
11.5,0,0.196,0
11.75,0,0.198,0
12,0,0.201,0
12.25,0,0.203,0
12.5,0,0.206,0
12.75,0,0.208,0
13,0,0.212,0
13.25,0,0.214,0
13.5,0,0.217,0
13.75,0,0.22,0
14,0,0.223,0
14.25,0,0.226,0
14.5,0,0.229,0
14.75,0,0.232,0
15,0,0.236,0
15.25,0,0.238,0
15.5,0,0.241,0
15.75,0,0.244,0
16,0,0.247,0
16.25,0,0.25,0
16.5,0,0.253,0
16.75,0,0.257,0
17,0,0.261,0
17.25,0,0.264,0
17.5,0,0.266,0
17.75,0,0.268,0
18,0,0.272,0
18.25,0,0.274,0
18.5,0,0.277,0
18.75,0,0.279,0
19,0,0.281,0
19.25,0,0.283,0
19.5,0,0.285,0
19.75,0,0.288,0
20,0,0.29,0
20.25,0,0.292,0
20.5,0,0.295,0
20.75,0,0.296,0
21,0,0.299,0
21.25,0,0.301,0
21.5,0,0.303,0
21.75,0,0.305,0
22,0,0.307,0
22.25,0,0.309,0
22.5,0,0.311,0
22.75,0,0.314,0
23,0,0.316,0
23.25,0,0.318,0
23.5,0,0.32,0
23.75,0,0.323,0
24,0,0.325,0
24.25,0,0.327,0
24.5,0,0.33,0
24.75,0,0.331,0
25,0,0.334,0
25.25,0,0.336,0
25.5,0,0.338,0
25.75,0,0.34,0
26,0,0.343,0
26.25,0,0.344,0
26.5,0,0.346,0
26.75,0,0.348,0
27,0,0.35,0
27.25,0,0.352,0
27.5,0,0.354,0
27.75,0,0.355,0
28,0,0.357,0
28.25,0,0.36,0
28.5,0,0.361,0
28.75,0,0.363,0
29,0,0.365,0
29.25,0,0.366,0
29.5,0,0.368,0
29.75,0,0.37,0
30,0,0.372,0
30.25,0,0.373,0
30.5,0,0.375,0
30.75,0,0.377,0
31,0,0.379,0
31.25,0,0.38,0
31.5,0,0.382,0
31.75,0,0.384,0
32,0,0.386,0
32.25,0,0.388,0
32.5,0,0.389,0
32.75,0,0.391,0
33,0,0.393,0
33.25,0,0.394,0
33.5,0,0.395,0
33.75,0,0.397,0
34,0,0.399,0
34.25,0,0.401,0
34.5,0,0.402,0
34.75,0,0.404,0
35,0,0.406,0
35.25,0,0.407,0
35.5,0,0.408,0
35.75,0,0.41,0
36,0,0.412,0
36.25,0,0.413,0
36.5,0,0.415,0
36.75,0,0.416,0
37,0,0.418,0
37.25,0,0.419,0
37.5,0,0.421,0
37.75,0,0.423,0
38,0,0.424,0
38.25,0,0.426,0
38.5,0,0.427,0
38.75,0,0.429,0
39,0,0.43,0
39.25,0,0.431,0
39.5,0,0.433,0
39.75,0,0.435,0
40,0,0.436,0
40.25,0,0.438,0
40.5,0,0.439,0
40.75,0,0.441,0
41,0,0.442,0
41.25,0,0.443,0
41.5,0,0.445,0
41.75,0,0.446,0
42,0,0.447,0
42.25,0,0.449,0
42.5,0,0.45,0
42.75,0,0.452,0
43,0,0.453,0
43.25,0,0.454,0
43.5,0,0.455,0
43.75,0,0.457,0
44,0,0.458,0
44.25,0,0.459,0
44.5,0,0.461,0
44.75,0,0.462,0
45,0,0.463,0
45.25,0,0.465,0
45.5,0,0.466,0
45.75,0,0.467,0
46,0,0.468,0
46.25,0,0.469,0
46.5,0,0.47,0
46.75,0,0.472,0
47,0,0.473,0
47.25,0,0.474,0
47.5,0,0.476,0
47.75,0,0.476,0
48,0,0.478,0
48.25,0,0.479,0
48.5,0,0.48,0
48.75,0,0.481,0
49,0,0.483,0
49.25,0,0.484,0
49.5,0,0.485,0
49.75,0,0.486,0
50,0,0.487,0
50.25,0,0.488,0
50.5,0,0.489,0
50.75,0,0.49,0
51,0,0.492,0
51.25,0,0.493,0
51.5,0,0.494,0
51.75,0,0.495,0
52,0,0.496,0
52.25,0,0.497,0
52.5,0,0.499,0
52.75,0,0.499,0
53,0,0.501,0
53.25,0,0.502,0
53.5,0,0.503,0
53.75,0,0.503,0
54,0,0.505,0
54.25,0,0.506,0
54.5,0,0.506,0
54.75,0,0.508,0
55,0,0.509,0
55.25,0,0.51,0
55.5,0,0.511,0
55.75,0,0.512,0
56,0,0.513,0
56.25,0,0.514,0
56.5,0,0.515,0
56.75,0,0.516,0
57,0,0.517,0
57.25,0,0.518,0
57.5,0,0.519,0
57.75,0,0.52,0
58,0,0.521,0
58.25,0,0.522,0
58.5,0,0.523,0
58.75,0,0.524,0
59,0,0.525,0
59.25,0,0.526,0
59.5,0,0.527,0
59.75,0,0.528,0
60,0,0.529,0
60.25,0,0.53,0
60.5,0,0.531,0
60.75,0,0.532,0
61,0,0.533,0
61.25,0,0.534,0
61.5,0,0.535,0
61.75,0,0.536,0
62,0,0.537,0
62.25,0,0.538,0
62.5,0,0.539,0
62.75,0,0.54,0
63,0,0.541,0
63.25,0,0.541,0
63.5,0,0.542,0
63.75,0,0.543,0
64,0,0.544,0
64.25,0,0.545,0
64.5,0,0.546,0
64.75,0,0.546,0
65,0,0.547,0
65.25,0,0.548,0
65.5,0,0.549,0
65.75,0,0.55,0
66,0,0.55,0
66.25,0,0.551,0
66.5,0,0.552,0
66.75,0,0.553,0
67,0,0.554,0
67.25,0,0.555,0
67.5,0,0.556,0
67.75,0,0.556,0
68,0,0.557,0
68.25,0,0.558,0
68.5,0,0.559,0
68.75,0,0.56,0
69,0,0.561,0
69.25,0,0.562,0
69.5,0,0.563,0
69.75,0,0.563,0
70,0,0.564,0
70.25,0,0.565,0
70.5,0,0.565,0
70.75,0,0.567,0
71,0,0.568,0
71.25,0,0.568,0
71.5,0,0.569,0
71.75,0,0.57,0
72,0,0.57,0
72.25,0,0.571,0
72.5,0,0.572,0
72.75,0,0.572,0
73,0,0.573,0
73.25,0,0.574,0
73.5,0,0.575,0
73.75,0,0.576,0
74,0,0.576,0
74.25,0,0.577,0
74.5,0,0.578,0
74.75,0,0.579,0
75,0,0.579,0
75.25,0,0.58,0
75.5,0,0.581,0
75.75,0,0.581,0
76,0,0.582,0
76.25,0,0.583,0
76.5,0,0.584,0
76.75,0,0.585,0
77,0,0.585,0
77.25,0,0.586,0
77.5,0,0.587,0
77.75,0,0.588,0
78,0,0.588,0
78.25,0,0.589,0
78.5,0,0.589,0
78.75,0,0.59,0
79,0,0.591,0
79.25,0,0.592,0
79.5,0,0.593,0
79.75,0,0.593,0
80,0,0.594,0
80.25,0,0.594,0
80.5,0,0.595,0
80.75,0,0.596,0
81,0,0.597,0
81.25,0,0.597,0
81.5,0,0.598,0
81.75,0,0.599,0
82,0,0.6,0
82.25,0,0.6,0
82.5,0,0.601,0
82.75,0,0.602,0
83,0,0.602,0
83.25,0,0.603,0
83.5,0,0.604,0
83.75,0,0.604,0
84,0,0.605,0
84.25,0,0.606,0
84.5,0,0.607,0
84.75,0,0.607,0
85,0,0.608,0
85.25,0,0.609,0
85.5,0,0.609,0
85.75,0,0.61,0
86,0,0.611,0
86.25,0,0.611,0
86.5,0,0.612,0
86.75,0,0.613,0
87,0,0.613,0
87.25,0,0.614,0
87.5,0,0.614,0
87.75,0,0.615,0
88,0,0.616,0
88.25,0,0.617,0
88.5,0,0.617,0
88.75,0,0.618,0
89,0,0.618,0
89.25,0,0.619,0
89.5,0,0.62,0
89.75,0,0.621,0
90,0,0.621,0
90.25,0,0.622,0
90.5,0,0.622,0
90.75,0,0.623,0
91,0,0.624,0
91.25,0,0.624,0
91.5,0,0.625,0
91.75,0,0.625,0
92,0,0.626,0
92.25,0,0.626,0
92.5,0,0.627,0
92.75,0,0.628,0
93,0,0.629,0
93.25,0,0.629,0
93.5,0,0.63,0
93.75,0,0.63,0
94,0,0.631,0
94.25,0,0.631,0
94.5,0,0.632,0
94.75,0,0.633,0
95,0,0.633,0
95.25,0,0.634,0
95.5,0,0.634,0
95.75,0,0.635,0
96,0,0.636,0
