time,LP
2,0.153
2.25,0.153
2.5,0.153
2.75,0.153
3,0.153
3.25,0.153
3.5,0.153
3.75,0.153
4,0.153
4.25,0.153
4.5,0.154
4.75,0.154
5,0.154
5.25,0.155
5.5,0.155
5.75,0.156
6,0.156
6.25,0.157
6.5,0.157
6.75,0.158
7,0.158
7.25,0.159
7.5,0.161
7.75,0.162
8,0.163
8.25,0.165
8.5,0.167
8.75,0.169
9,0.171
9.25,0.173
9.5,0.175
9.75,0.178
10,0.181
10.25,0.183
10.5,0.186
10.75,0.19
11,0.193
11.25,0.196
11.5,0.2
11.75,0.204
12,0.207
12.25,0.211
12.5,0.215
12.75,0.22
13,0.224
13.25,0.228
13.5,0.232
13.75,0.236
14,0.241
14.25,0.245
14.5,0.25
14.75,0.254
15,0.259
15.25,0.263
15.5,0.268
15.75,0.272
16,0.276
16.25,0.281
16.5,0.285
16.75,0.289
17,0.293
17.25,0.297
17.5,0.301
17.75,0.305
18,0.309
18.25,0.313
18.5,0.316
18.75,0.32
19,0.324
19.25,0.327
19.5,0.331
19.75,0.334
20,0.337
20.25,0.341
20.5,0.344
20.75,0.348
21,0.351
21.25,0.354
21.5,0.358
21.75,0.361
22,0.365
22.25,0.368
22.5,0.371
22.75,0.374
23,0.378
23.25,0.381
23.5,0.384
23.75,0.387
24,0.391
24.25,0.394
24.5,0.397
24.75,0.4
25,0.403
25.25,0.406
25.5,0.409
25.75,0.412
26,0.415
26.25,0.418
26.5,0.421
26.75,0.424
27,0.427
27.25,0.43
27.5,0.433
27.75,0.436
28,0.439
28.25,0.442
28.5,0.445
28.75,0.448
29,0.451
29.25,0.454
29.5,0.457
29.75,0.46
30,0.463
30.25,0.465
30.5,0.468
30.75,0.471
31,0.474
31.25,0.477
31.5,0.48
31.75,0.482
32,0.484
32.25,0.488
32.5,0.49
32.75,0.493
33,0.496
33.25,0.499
33.5,0.502
33.75,0.504
34,0.507
34.25,0.51
34.5,0.512
34.75,0.515
35,0.517
35.25,0.52
35.5,0.523
35.75,0.525
36,0.528
36.25,0.53
36.5,0.532
36.75,0.535
37,0.537
37.25,0.54
37.5,0.542
37.75,0.545
38,0.547
38.25,0.549
38.5,0.552
38.75,0.554
39,0.557
39.25,0.56
39.5,0.562
39.75,0.564
40,0.566
40.25,0.569
40.5,0.572
40.75,0.573
41,0.576
41.25,0.578
41.5,0.58
41.75,0.582
42,0.585
42.25,0.587
42.5,0.589
42.75,0.591
43,0.593
43.25,0.596
43.5,0.598
43.75,0.6
44,0.602
44.25,0.604
44.5,0.606
44.75,0.608
45,0.61
45.25,0.612
45.5,0.614
45.75,0.617
46,0.619
46.25,0.621
46.5,0.623
46.75,0.624
47,0.626
47.25,0.628
47.5,0.63
