time,AO,LB
2,0.205,0.154
2.25,0.206,0.154
2.5,0.206,0.154
2.75,0.206,0.154
3,0.206,0.154
3.25,0.206,0.154
3.5,0.207,0.155
3.75,0.207,0.155
4,0.208,0.155
4.25,0.208,0.155
4.5,0.209,0.155
4.75,0.209,0.156
5,0.21,0.156
5.25,0.211,0.156
5.5,0.212,0.157
5.75,0.212,0.158
6,0.212,0.158
6.25,0.213,0.159
6.5,0.213,0.16
6.75,0.214,0.161
7,0.214,0.162
7.25,0.215,0.163
7.5,0.216,0.165
7.75,0.217,0.167
8,0.218,0.169
8.25,0.219,0.171
8.5,0.22,0.174
8.75,0.221,0.177
9,0.222,0.18
9.25,0.223,0.183
9.5,0.224,0.187
9.75,0.225,0.19
10,0.226,0.194
10.25,0.226,0.199
10.5,0.228,0.203
10.75,0.228,0.207
11,0.229,0.212
11.25,0.23,0.217
11.5,0.231,0.222
11.75,0.232,0.227
12,0.233,0.232
12.25,0.235,0.237
12.5,0.236,0.243
12.75,0.237,0.248
13,0.238,0.256
13.25,0.24,0.262
13.5,0.241,0.268
13.75,0.243,0.274
14,0.245,0.279
14.25,0.246,0.285
14.5,0.248,0.29
14.75,0.25,0.295
15,0.252,0.3
15.25,0.254,0.305
15.5,0.257,0.311
15.75,0.259,0.319
16,0.261,0.323
16.25,0.263,0.327
16.5,0.265,0.334
16.75,0.267,0.336
17,0.269,0.342
17.25,0.273,0.347
17.5,0.276,0.351
17.75,0.279,0.357
18,0.282,0.36
18.25,0.287,0.364
18.5,0.292,0.367
18.75,0.296,0.371
19,0.301,0.375
19.25,0.306,0.376
19.5,0.311,0.38
19.75,0.317,0.382
20,0.321,0.388
20.25,0.324,0.391
20.5,0.33,0.395
20.75,0.333,0.396
21,0.342,0.401
21.25,0.349,0.404
21.5,0.356,0.408
21.75,0.362,0.408
22,0.37,0.407
22.25,0.379,0.412
22.5,0.387,0.417
22.75,0.398,0.421
23,0.409,0.425
23.25,0.42,0.425
23.5,0.432,0.427
23.75,0.444,0.428
24,0.455,0.436
24.25,0.466,0.435
24.5,0.476,0.437
24.75,0.488,0.436
25,0.498,0.442
25.25,0.509,0.444
25.5,0.521,0.45
25.75,0.532,0.452
26,0.542,0.455
26.25,0.554,0.458
26.5,0.564,0.461
26.75,0.577,0.461
27,0.589,0.467
27.25,0.602,0.468
27.5,0.617,0.472
27.75,0.628,0.473
28,0.642,0.477
28.25,0.656,0.479
28.5,0.668,0.48
28.75,0.68,0.486
29,0.692,0.485
29.25,0.706,0.489
29.5,0.717,0.488
29.75,0.727,0.492
30,0.736,0.496
30.25,0.748,0.499
30.5,0.757,0.5
30.75,0.771,0.502
31,0.777,0.504
31.25,0.787,0.505
31.5,0.795,0.508
31.75,0.805,0.509
32,0.813,0.511
32.25,0.824,0.515
32.5,0.831,0.515
32.75,0.839,0.517
33,0.848,0.519
33.25,0.856,0.522
33.5,0.869,0.523
33.75,0.875,0.524
34,0.884,0.527
34.25,0.892,0.53
34.5,0.901,0.531
34.75,0.908,0.533
35,0.921,0.535
35.25,0.926,0.537
35.5,0.935,0.537
35.75,0.945,0.54
36,0.955,0.541
36.25,0.957,0.541
36.5,0.965,0.544
36.75,0.978,0.545
37,0.986,0.547
37.25,0.998,0.548
37.5,1.008,0.548
37.75,1.018,0.551
38,1.03,0.551
38.25,1.045,0.552
38.5,1.06,0.554
38.75,1.069,0.554
39,1.073,0.555
39.25,1.078,0.556
39.5,1.092,0.558
39.75,1.097,0.559
40,1.109,0.56
40.25,1.117,0.561
40.5,1.128,0.562
40.75,1.136,0.563
41,1.145,0.564
41.25,1.152,0.564
41.5,1.161,0.566
41.75,1.167,0.567
42,1.177,0.567
42.25,1.184,0.568
42.5,1.191,0.569
42.75,1.202,0.569
43,1.211,0.57
43.25,1.218,0.571
43.5,1.226,0.572
43.75,1.234,0.573
44,1.242,0.574
44.25,1.25,0.574
44.5,1.256,0.575
44.75,1.263,0.576
45,1.268,0.577
45.25,1.277,0.578
45.5,1.283,0.578
45.75,1.289,0.579
46,1.297,0.579
46.25,1.302,0.579
46.5,1.309,0.58
46.75,1.315,0.581
47,1.323,0.582
47.25,1.33,0.582
47.5,1.335,0.583
47.75,1.342,0.583
48,1.347,0.585
48.25,1.354,0.585
48.5,1.361,0.585
48.75,1.364,0.585
49,1.371,0.586
49.25,1.377,0.587
49.5,1.385,0.587
49.75,1.39,0.588
50,1.395,0.589
50.25,1.402,0.589
50.5,1.407,0.59
50.75,1.413,0.59
51,1.42,0.59
51.25,1.426,0.591
51.5,1.431,0.591
51.75,1.439,0.592
52,1.444,0.592
52.25,1.45,0.593
52.5,1.456,0.593
52.75,1.463,0.593
53,1.468,0.594
53.25,1.473,0.594
53.5,1.48,0.595
53.75,1.486,0.595
54,1.492,0.595
54.25,1.498,0.596
54.5,1.504,0.596
54.75,1.508,0.597
55,1.512,0.597
55.25,1.519,0.598
55.5,1.524,0.598
55.75,1.529,0.598
56,1.534,0.599
56.25,1.538,0.599
56.5,1.543,0.599
56.75,1.548,0.6
57,1.554,0.6
57.25,1.558,0.601
57.5,1.563,0.601
57.75,1.569,0.602
58,1.574,0.602
58.25,1.579,0.602
58.5,1.585,0.603
58.75,1.59,0.603
59,1.595,0.603
59.25,1.599,0.603
59.5,1.603,0.604
59.75,1.608,0.605
60,1.612,0.605
60.25,1.616,0.605
60.5,1.619,0.605
60.75,1.623,0.605
61,1.628,0.606
61.25,1.632,0.606
61.5,1.635,0.607
61.75,1.639,0.607
62,1.643,0.607
62.25,1.647,0.608
62.5,1.65,0.608
62.75,1.653,0.608
63,1.657,0.609
63.25,1.661,0.609
63.5,1.663,0.61
63.75,1.666,0.61
64,1.67,0.61
64.25,1.673,0.61
64.5,1.676,0.611
64.75,1.68,0.611
65,1.682,0.611
65.25,1.686,0.612
65.5,1.689,0.612
65.75,1.692,0.612
66,1.694,0.612
66.25,1.698,0.613
66.5,1.701,0.613
66.75,1.705,0.613
67,1.706,0.613
67.25,1.71,0.614
67.5,1.714,0.614
67.75,1.715,0.614
68,1.718,0.615
68.25,1.721,0.615
68.5,1.724,0.615
68.75,1.728,0.615
69,1.729,0.615
69.25,1.733,0.616
69.5,1.736,0.616
69.75,1.739,0.616
70,1.741,0.616
70.25,1.744,0.617
70.5,1.745,0.617
70.75,1.749,0.618
71,1.751,0.617
71.25,1.754,0.618
71.5,1.756,0.618
71.75,1.759,0.618
72,1.762,0.618
72.25,1.762,0.619
72.5,1.764,0.619
72.75,1.768,0.619
73,1.769,0.619
73.25,1.771,0.62
73.5,1.774,0.62
73.75,1.777,0.619
74,1.778,0.62
74.25,1.779,0.62
74.5,1.782,0.62
74.75,1.783,0.62
75,1.786,0.62
75.25,1.787,0.621
75.5,1.79,0.621
75.75,1.791,0.62
76,1.794,0.621
76.25,1.796,0.621
76.5,1.798,0.621
76.75,1.799,0.621
77,1.802,0.621
77.25,1.803,0.621
77.5,1.804,0.621
77.75,1.807,0.621
78,1.808,0.621
78.25,1.81,0.622
78.5,1.811,0.622
78.75,1.813,0.622
79,1.815,0.622
79.25,1.817,0.622
79.5,1.819,0.622
79.75,1.82,0.622
80,1.822,0.622
80.25,1.823,0.622
80.5,1.825,0.622
80.75,1.827,0.622
81,1.828,0.622
81.25,1.83,0.622
81.5,1.832,0.622
81.75,1.834,0.622
82,1.835,0.622
82.25,1.837,0.622
82.5,1.838,0.622
82.75,1.839,0.621
83,1.841,0.621
83.25,1.843,0.622
83.5,1.844,0.621
83.75,1.846,0.622
84,1.848,0.622
84.25,1.849,0.621
84.5,1.851,0.622
84.75,1.852,0.621
85,1.854,0.621
85.25,1.855,0.621
85.5,1.857,0.621
85.75,1.859,0.621
86,1.86,0.621
86.25,1.862,0.621
86.5,1.863,0.62
86.75,1.864,0.621
87,1.866,0.621
87.25,1.867,0.621
87.5,1.869,0.621
87.75,1.87,0.621
88,1.871,0.621
88.25,1.873,0.621
88.5,1.873,0.62
88.75,1.875,0.621
89,1.876,0.62
89.25,1.877,0.621
89.5,1.879,0.621
89.75,1.879,0.62
90,1.881,0.621
90.25,1.881,0.621
90.5,1.882,0.621
90.75,1.884,0.621
91,1.884,0.62
91.25,1.885,0.621
91.5,1.886,0.621
91.75,1.887,0.62
92,1.888,0.62
92.25,1.889,0.62
92.5,1.891,0.62
92.75,1.891,0.62
93,1.893,0.62
93.25,1.894,0.62
93.5,1.895,0.62
93.75,1.895,0.62
94,1.896,0.62
94.25,1.898,0.62
94.5,1.898,0.62
94.75,1.9,0.619
95,1.9,0.62
95.25,1.902,0.62
95.5,1.903,0.62
95.75,1.905,0.62
96,1.906,0.619
