Complexity,Loss,Equation
1,0.009629252,"0.0040777125"
3,0.009202912,"x0 * 0.065515205"
5,0.009005253,"(x0 * 0.10635491) + -0.019233985"
9,0.008981372,"(((x0 * -0.09825852) - -0.17974469) * x0) + -0.025166964"
11,0.008980364,"(x0 * (0.16822483 + (x0 * -0.10709789))) - (x1 * 0.01572206)"
13,0.008978836,"((0.13737828 - (x1 * ((x0 * 0.122780696) - 0.050635353))) * x0) + -0.02664129"
17,0.008978392,"(-0.024517694 - (x0 + x0)) - (x0 * ((x0 * 0.10751175) - ((x1 * -0.015270269) + 2.1978157)))"
