"time","x","y"
1,0.7,0.3
2,0.799844842884561,0.285313663876394
3,0.910179829966456,0.277111769021085
4,1.03029181375259,0.275424714292062
5,1.15881999938922,0.280647773676979
6,1.29364981565007,0.29361350503352
7,1.43183235715526,0.315697925412815
8,1.56953663234795,0.348963509722519
9,1.70203720505404,0.396333301483576
10,1.82373884483654,0.461768708481008
11,1.92825052508487,0.550378683796256
12,2.00855283976393,0.66830932755969
13,2.05735892295966,0.822153530849524
14,2.06782946963814,1.01753211210999
15,2.03479937511542,1.25658302225181
16,1.95648690631049,1.53459963023681
17,1.83621050713036,1.83708440050013
18,1.68313519217973,2.13946588640826
19,1.51109521012451,2.41129970401114
20,1.33552364757599,2.62416766520212
21,1.16985733308792,2.75949050782062
22,1.02315116761116,2.81224125964068
23,0.899653536384796,2.78949955832467
24,0.799841338861919,2.70587980782423
25,0.721936329231902,2.57863765795172
26,0.663200803353087,2.42414718829878
27,0.620772557769691,2.25607815197881
28,0.592089321748903,2.08486502440893
29,0.575042676148432,1.91791459716836
30,0.567985829413571,1.76012755485317
31,0.569676267415163,1.61448370177153
32,0.579197165218867,1.48257179457435
33,0.595877731574047,1.3650226418497
34,0.619219794667537,1.26184285893345
35,0.648831861799987,1.17266253380074
36,0.684369531657286,1.09691428714021
37,0.725480667714849,1.03396026272548
38,0.77175417784563,0.983180760508331
39,0.822672104667407,0.944035019014433
40,0.877565776466862,0.916101627854912
41,0.93557786846008,0.899103321994686
42,0.995633282934865,0.892918403830604
43,1.05642268537179,0.897578635100584
44,1.11640324023626,0.91325106700535
45,1.1738214697483,0.94019902023194
46,1.22676306043894,0.978715668775022
47,1.27323360254922,1.02902325441317
48,1.31127221397911,1.09113322942475
49,1.33909612772328,1.16466931470495
50,1.35526799212585,1.24866790432633
