"Time","B42","E310","E111"
0,89.6681624045327,119.785312471005,152.355534195615
30,125.575814289847,114.829622414421,155.816112352084
60,195.697718017687,111.157065584298,155.126035309097
90,312.186380418718,106.63858467008,148.680531263838
120,397.22411965531,123.1906364825,172.391680777753
150,507.335533798707,151.456145957566,183.154106375722
180,877.732122934058,173.182774192463,232.040006429067
210,1269.50313470747,202.150435796772,260.248639778679
240,2241.02232388094,200.760576969294,404.149305426688
