Complexity,Loss,Equation
1,0.0011299002,"-0.0022258312"
3,0.0011169274,"x0 * -0.013182375"
5,0.0010595989,"x0 * (x1 * -0.027481671)"
7,0.00092972064,"((x1 + x0) * -0.08001777) - -0.12527838"
9,0.0008840974,"(((x0 * -0.0811777) - 0.040938765) * x1) + 0.07345536"
13,0.0008810415,"((((x1 * x0) - 0.91100335) * 0.060887188) * (x1 + -2.5481179)) + -0.048563294"
17,0.0008797484,"0.07882237 - ((0.04595613 - (x0 * ((((0.17423484 - x0) * -1.2512428) + 2.060309) * -0.032061044))) * x1)"
19,0.00087932247,"0.08143794 - ((0.047990944 - ((((x0 * -1.2512195) * (-0.033348996 - x0)) + 2.0603445) * (x0 * -0.033348996))) * x1)"
