Complexity,Loss,Equation
1,0.0015515472,"0.027977392"
3,0.0014949876,"x2 * 0.05617585"
4,0.0014949868,"log10(1.1380967 ^ x2)"
5,0.0012657809,"(x0 * 0.009237346) / x1"
6,0.0009225126,"0.059570607 ^ (x0 ^ log10(x0))"
7,0.00032415288,"0.049451172 / (x0 ^ (x0 + -2.7793317))"
8,0.00018006729,"0.15431869 / exp(x0 ^ (x0 + -2.6630635))"
10,0.000114907816,"(0.18068177 / exp(x0 ^ (x0 + -2.693992))) + -0.011712938"
11,0.00011146369,"((x2 ^ (x0 ^ (x0 + -2.0590022))) * 0.16641219) + -0.018291196"
12,7.2043236e-5,"(x2 - x1) * (0.76850045 ^ exp(x0 ^ (-2.4474645 + x0)))"
13,4.7079935e-5,"((0.73120916 / (x0 ^ (x0 + -2.4247375))) - 0.24823812) * (x2 - x1)"
15,1.1286451e-5,"((0.60043865 ^ ((x0 * x0) ^ (x0 + -2.3395884))) * (x2 - x1)) - 0.009901089"
17,1.0065351e-5,"((0.61552584 ^ (x0 ^ ((x0 + -2.3287199) * (x1 ^ -0.5994865)))) * (x2 - x1)) - 0.010951857"
18,6.5369545e-6,"((0.6141145 ^ (x0 ^ ((x0 + -2.3071938) * exp(0.65634793 ^ x0)))) * (x2 - x1)) - 0.010627579"
20,6.343118e-6,"((0.61952925 ^ (x0 ^ ((x0 + -2.2928665) * exp((0.6310917 ^ x0) + 0.025773222)))) * (x2 - x1)) - 0.011188146"
