Time,Vibrio,Escherichia,Staphylococcus
4,0,12601,8273
5,0,12471,8461
6,0,12706,8725
7,0,13227,9559
8,0,14110,10624
9,0,14432,11382
10,0,14721,12315
11,0,15169,13403
12,0,15365,13789
13,0,16564,15204
14,0,17807,16892
15,0,18566,16896
16,0,22023,18224
17,0,29793,20237
18,0,39420,20511
19,0,52790,21298
20,0,70345,22030
21,0,88439,22481
22,0,106068,22359
23,0,131432,22880
24,0,191678,23950
