Complexity,Loss,Equation
1,0.009629252,"0.0040501477"
3,0.009202912,"x0 * 0.065512106"
5,0.009005253,"(x0 * 0.106350526) + -0.019228049"
9,0.008981371,"(x0 * ((x0 * -0.09818873) + 0.17967887)) + -0.025158016"
11,0.008980495,"(x0 * ((x0 - 1.5155385) * -0.11405848)) + (x1 * -0.015951267)"
15,0.008973767,"(((0.14602219 - x0) * 0.3881548) * ((x0 * (x0 - 1.7811279)) + 1.3219731)) * -0.40910068"
