Complexity,Loss,Equation
1,0.00020814453,"0.014889444"
5,0.00020041039,"0.019730417 - (x0 * 0.0013099525)"
7,7.784327e-5,"x0 * ((x0 * -0.0036160797) - -0.021967733)"
9,7.1258495e-5,"((x0 * -0.00354338) - -0.022490976) * (x1 * x1)"
11,5.8212812e-5,"(x1 - 0.625388) * (((x0 * -0.0068604127) - -0.042319093) * x1)"
13,5.7977846e-5,"((x0 * -0.0068763904) - -0.042458426) * ((x1 - 0.032275714) * (x1 - 0.62518114))"
17,5.795029e-5,"(x1 - 0.625388) * (((x0 * -0.0068604127) - -0.042319093) * (x1 - ((x1 * -0.0068604127) - -0.042319093)))"
19,5.7355574e-5,"(((x2 - (x1 * 0.023651242)) + 0.03287211) * x0) + ((((x1 * 0.02630125) * x1) + -0.018381596) + x2)"
