Complexity,Loss,Equation
1,0.0011299002,"-0.002225723"
3,0.0011169274,"x0 * -0.0131823905"
5,0.0010595989,"(x0 * -0.027481697) * x1"
7,0.00092972064,"((x0 + x1) + -1.5656104) * -0.08002073"
9,0.00088606507,"0.07386271 - (x1 * ((x0 + 0.45960113) * 0.08732924))"
11,0.00088409765,"((x1 * -0.04092891) - ((x1 * 0.08116877) * x0)) + 0.07343935"
13,0.0008835957,"((x1 + x0) * (((x1 * -0.020765914) * x0) + -0.06357547)) + 0.10722248"
15,0.00088185427,"(x0 * ((((x1 - 1.3064103) * -0.67890465) - (x0 * 0.58204985)) * 0.25960833)) + 0.00508393"
19,0.0008795305,"((x0 * (((x1 + (x0 + -1.8666829)) + x1) * 1.2990261)) + ((x0 + x1) + -1.7555403)) * -0.03765021"
