Complexity,Loss,Equation
1,0.009629252,"0.004066645"
3,0.009202912,"x0 * 0.065512046"
5,0.009005253,"-0.01922788 - (x0 * -0.10634409)"
9,0.0089814095,"(x0 + -1.7209216) * ((x0 * -0.09445568) + 0.01450693)"
11,0.008980248,"((x0 + -1.7031404) * -0.08614299) * (x0 + (x1 * -0.10554458))"
15,0.008980096,"(x0 + ((x1 + (x1 * -0.07557124)) * -0.11157041)) * ((x0 + -1.5402973) * -0.10093633)"
19,0.008979332,"((((x0 * x1) + 1.3261962) * -0.098777235) + x0) * ((((x0 + x0) + 1.3238796) * -0.057693195) + 0.26004732)"
