Complexity,Loss,Equation
1,0.009629252,"0.004071008"
3,0.009202912,"x0 * 0.06551201"
5,0.009005253,"(x0 * 0.106307656) - 0.01921877"
9,0.008981375,"((1.6695269 - x0) * 0.09895719) * (x0 - 0.15264603)"
11,0.0089800125,"((x0 + -1.5756823) * ((x1 * -0.10392396) + x0)) * -0.097409785"
15,0.00897529,"((((x0 - 1.7614634) * (x0 + -0.4801147)) - -1.1950834) * (x0 + -0.14313455)) * 0.09479858"
17,0.008967205,"(((((x0 - 2.313788) + x0) * (x0 + -0.15389371)) - -0.8975978) * 0.20337419) * (x0 + -0.1264843)"
