Time,VC,EC,SA
1,-0,92372,189
2,-0,102461,189
3,-0,111446,236
4,-0,119294,258
5,-0,130775,408
6,-0,134323,314
7,-0,137243,306
8,-0,146434,511
9,-0,150671,662
