Time,VC,EC,SA
1,49828,-0,725
2,66756,-0,1105
3,78501,-0,1413
4,84343,-0,1745
5,96669,-0,2321
6,110741,-0,2869
7,111866,-0,3114
8,121636,-0,3615
9,134155,-0,4273
10,145099,-0,4713
11,164694,-0,4924
12,177875,-0,5319
13,192454,-0,5758
14,212945,-0,6423
15,210036,-0,6437
16,243809,-0,7289
17,253264,-0,7553
18,257418,-0,7840
