Time,VC,EC,SA
1,-0,10732,1196
2,-0,29979,1362
3,-0,46873,1595
4,-0,60773,2077
5,-0,76441,2520
6,-0,90227,3043
7,-0,107534,3656
8,-0,126810,4314
9,-0,156505,4995
10,-0,184390,5429
11,-0,220607,6177
12,-0,274802,6797
13,-0,327690,8023
14,-0,346587,8151
15,-0,400807,9284
16,-0,430293,9661
17,-0,451842,10464
