Time,VC,EC,SA
1,-0,5150,11424
2,-0,12107,12973
3,-0,21955,13352
4,-0,38339,13900
5,-0,56400,14714
6,-0,78643,15342
7,-0,101432,15107
8,-0,134923,16086
9,-0,170952,16901
