Time,VC,EC,SA
1,17387,7052,5436
2,25807,9697,6528
3,32827,11126,7008
4,43258,14849,8461
5,52641,18067,9411
6,72462,21194,9518
7,77649,25637,10565
8,91314,35891,12072
9,109787,46413,12812
10,141954,61880,13591
11,179119,78445,14413
12,204204,97469,15146
13,233620,112952,15130
14,258026,140431,16191
15,297230,167723,17392
