Time,VC,EC,SA
1,172917,27736,1087
2,131642,26331,959
3,157564,27712,1075
4,179934,31508,1343
5,209338,37108,1560
6,255123,43509,2049
7,282056,49554,2353
8,329820,57322,2479
9,347852,60222,2545
10,369839,62087,2471
11,367056,57373,1817
12,430995,66219,1896
13,488216,74892,1955
14,540150,81563,1857
15,604856,90287,1881
16,686017,104223,2039
17,735756,110285,2099
18,772295,114299,1976
19,823391,123963,2302
20,863486,128997,2533
