Time,VC,EC,SA
1,-0,3262,978
2,-0,12932,1140
3,-0,22756,1348
4,-0,31719,1675
5,-0,43773,2244
6,-0,56009,2699
7,-0,71677,3336
8,-0,90191,3947
9,-0,113265,4519
10,-0,135045,4916
11,-0,167874,5597
12,-0,201427,6480
13,-0,239845,7427
14,-0,269791,7681
15,-0,319051,8725
16,-0,344059,9333
17,-0,365961,10095
