Time,VC,EC,SA
1,11756,-0,9462
2,20170,-0,10863
3,28838,-0,12411
4,42326,-0,11963
5,45721,-0,13489
6,54593,-0,15946
7,59601,-0,16117
8,76753,-0,16839
9,76489,-0,18083
10,85352,-0,19412
11,94636,-0,19680
12,98524,-0,21699
13,113911,-0,24560
