Time,VC,EC,SA
1,985197,-0,563
2,1002617,-0,561
3,1030972,-0,643
4,1084609,-0,849
5,1117459,-0,927
6,1139873,-0,936
7,1192062,-0,1062
8,1217935,-0,1267
