Time,VC,EC,SA
1,652175,102894,-0
2,770526,120191,-0
3,852156,131573,-0
4,847022,127722,-0
5,862415,131679,-0
6,850964,129571,-0
7,772198,118764,-0
8,792215,121309,-0
9,849267,131426,-0
10,939017,144658,-0
11,922837,138796,-0
12,1029087,155386,-0
13,1110515,170245,-0
14,1154801,177478,-0
15,1121758,167324,-0
16,1227648,187456,-0
17,1276948,196773,-0
18,1321478,203370,-0
