Time,VC,EC,SA
1,137145,26451,-0
2,95522,20830,-0
3,94436,20945,-0
4,183864,33762,-0
5,252451,46038,-0
6,229437,37239,-0
7,328561,55668,-0
8,418841,70390,-0
9,511265,84687,-0
10,550641,88727,-0
11,629092,100015,-0
12,650238,102492,-0
13,590952,93988,-0
14,599440,95649,-0
15,641073,101176,-0
16,697768,110909,-0
17,724325,112053,-0
18,800126,124106,-0
19,902787,142025,-0
20,964302,152703,-0
21,932696,142719,-0
22,1020741,158898,-0
23,1118240,175000,-0
24,1118319,176941,-0
