Time,VC,EC,SA
1,16772,5786,4768
2,24366,8039,5640
3,32121,9533,6326
4,41901,12111,7634
5,52178,14858,8528
6,68370,16492,8760
7,71234,19975,9930
8,82606,26212,11084
9,98843,33637,11965
10,123240,43423,12735
11,131562,56999,13676
12,172635,66864,14393
13,194459,79141,14544
14,211050,97327,15459
15,239571,118399,16501
