Time,VC,EC,SA
1,53581,13155,1065
2,64054,14594,1443
3,73427,16881,1897
4,83946,18782,2378
5,94525,20815,3145
6,109659,23972,3659
7,115795,26286,4113
8,132984,30443,4747
9,145492,33729,5237
10,183665,37250,5738
11,191356,38207,5685
12,219336,42977,5900
13,247004,46998,5789
14,290282,53655,6318
15,317885,56490,5830
16,382058,65889,5933
17,439486,73460,6063
18,499339,82395,6074
