Time,VC,EC,SA
1,51678,12996,973
2,62833,14797,1356
3,73615,17318,1691
4,83202,19354,2153
5,94446,21440,2625
6,112675,25201,3191
7,124817,27355,3481
8,141275,31124,4218
9,180066,34631,4737
10,196320,37871,4991
11,212176,40061,4985
12,232155,44068,5036
13,256766,47812,4965
14,302784,54316,5685
15,326307,57169,5191
16,393820,67145,5348
17,458644,75819,5315
18,512174,83831,5362
